seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
12749,711807,0,43487222,5',Ransford-Yeboah Königsdörffer (Hamburg SV) Goal at 5',2024-08-03 09:27:46
12749,711807,1,43487351,35',Ransford-Yeboah Königsdörffer (Hamburg SV) Goal at 35',2024-08-03 09:27:46
12749,711807,2,43487372,39',Tim Lemperle (FC Cologne) Yellow Card at 39',2024-08-03 09:27:46
12749,711807,3,43487412,45'+3',Miro Muheim (Hamburg SV) Yellow Card at 48',2024-08-03 09:27:46
12749,711807,4,43487553,57',Linton Maina (FC Cologne) Substitution at 57',2024-08-03 09:27:46
12749,711807,5,43487554,57',Sargis Adamyan (FC Cologne) Substitution at 57',2024-08-03 09:27:46
12749,711807,6,43487572,65',Fabio Baldé (Hamburg SV) Substitution at 65',2024-08-03 09:27:46
12749,711807,7,43487573,66',Levin Öztunali (Hamburg SV) Substitution at 66',2024-08-03 09:27:46
12749,711807,8,43487580,69',Julian Pauli (FC Cologne) Yellow Card at 69',2024-08-03 09:27:46
12749,711807,9,43487597,76',Florian Dietz (FC Cologne) Substitution at 76',2024-08-03 09:27:46
12749,711807,10,43487601,78',Linton Maina (FC Cologne) Goal at 78',2024-08-03 09:27:46
12749,711807,11,43487619,83',Moritz Heyer (Hamburg SV) Substitution at 83',2024-08-03 09:27:46
12749,711807,12,43487636,86',Ransford-Yeboah Königsdörffer (Hamburg SV) Yellow Card at 86',2024-08-03 09:27:46
12749,711807,13,43487637,87',Marvin Obuz (FC Cologne) Substitution at 87',2024-08-03 09:27:46
12749,711807,14,43487638,87',Dominique Heintz (FC Cologne) Substitution at 87',2024-08-03 09:27:46
12749,711807,15,43487653,90'+1',William Mikelbrencis (Hamburg SV) Substitution at 91',2024-08-03 09:27:46
12749,711807,16,43487654,90'+1',Davie Selke (Hamburg SV) Substitution at 91',2024-08-03 09:27:46
12749,711808,0,43488765,45',Marcus Mathiesen (1. FC Magdeburg) Yellow Card at 45',2024-08-04 09:28:48
12749,711808,1,43488787,45',Luca Dürholtz (SV 07 Elversberg) Substitution at 45',2024-08-04 09:28:48
12749,711808,2,43488824,58',Daniel Heber (1. FC Magdeburg) Yellow Card at 58',2024-08-04 09:28:48
12749,711808,3,43488826,59',Semih Sahin (SV 07 Elversberg) Yellow Card at 59',2024-08-04 09:28:48
12749,711808,4,43488841,60',Tatsuya Ito (1. FC Magdeburg) Substitution at 60',2024-08-04 09:28:48
12749,711808,5,43488842,61',Philipp Hercher (1. FC Magdeburg) Substitution at 61',2024-08-04 09:28:48
12749,711808,6,43488849,62',Fisnik Asllani (SV 07 Elversberg) Substitution at 62',2024-08-04 09:28:48
12749,711808,7,43488904,75',Filimon Gerezgiher (SV 07 Elversberg) Substitution at 75',2024-08-04 09:28:48
12749,711808,8,43488933,82',Aleksa Marusic (1. FC Magdeburg) Substitution at 82',2024-08-04 09:28:48
12749,711808,9,43488942,85',Carlo Sickinger (SV 07 Elversberg) Substitution at 85',2024-08-04 09:28:48
12749,711808,10,43488958,88',Nicolas Kristof (SV 07 Elversberg) Yellow Card at 88',2024-08-04 09:28:48
12749,711808,11,43488980,90'+2',Jason Ceka (1. FC Magdeburg) Substitution at 92',2024-08-04 09:28:48
12749,711808,12,43488987,90'+4',Tatsuya Ito (1. FC Magdeburg) Yellow Card at 94',2024-08-04 09:28:48
12749,711809,0,43490416,9',Tobias Mohr (Schalke 04) Goal at 9',2024-08-04 09:28:48
12749,711809,1,43490503,25',Moussa Sylla (Schalke 04) Goal at 25',2024-08-04 09:28:48
12749,711809,2,43490530,32',Kevin Ehlers (TSV Eintracht Braunschweig) Goal at 32',2024-08-04 09:28:48
12749,711809,3,43490612,39',Rayan Philippe (TSV Eintracht Braunschweig) Yellow Card at 39',2024-08-04 09:28:48
12749,711809,4,43490970,45',Levente Szabo (TSV Eintracht Braunschweig) Substitution at 45',2024-08-05 09:30:51
12749,711809,5,43491040,51',Kenan Karaman (Schalke 04) Yellow Card at 51',2024-08-05 09:30:51
12749,711809,6,43491148,58',Fabio Di-Michele-Sanchez (TSV Eintracht Braunschweig) Substitution at 58',2024-08-05 09:30:51
12749,711809,7,43491220,68',Emil Höjlund (Schalke 04) Substitution at 68',2024-08-05 09:30:51
12749,711809,8,43491221,68',Anton Donkor (Schalke 04) Substitution at 68',2024-08-05 09:30:51
12749,711809,9,43491222,68',Marcin Kaminski (Schalke 04) Substitution at 68',2024-08-05 09:30:51
12749,711809,10,43491227,69',Marcin Kaminski (Schalke 04) Yellow Card at 69',2024-08-05 09:30:51
12749,711809,11,43491242,73',Kenan Karaman (Schalke 04) Goal at 73',2024-08-05 09:30:51
12749,711809,12,43491298,77',Christian Conteh (TSV Eintracht Braunschweig) Substitution at 77',2024-08-05 09:30:51
12749,711809,13,43491299,77',Walid Ould-Chikh (TSV Eintracht Braunschweig) Substitution at 77',2024-08-05 09:30:51
12749,711809,14,43491300,78',Walid Ould-Chikh (TSV Eintracht Braunschweig) Yellow Card at 78',2024-08-05 09:30:51
12749,711809,15,43491370,82',Moussa Sylla (Schalke 04) Goal at 82',2024-08-05 09:30:51
12749,711809,16,43491385,83',Kenan Karaman (Schalke 04) Goal at 83',2024-08-05 09:30:51
12749,711809,17,43491421,86',Robert Ivanov (TSV Eintracht Braunschweig) Substitution at 86',2024-08-05 09:30:51
12749,711809,18,43491445,88',Ibrahima Cissé (Schalke 04) Substitution at 88',2024-08-05 09:30:51
12749,711809,19,43491446,88',Sebastian Polter (Schalke 04) Substitution at 88',2024-08-05 09:30:51
12749,711810,0,43495790,1',Gideon Jung (SpVgg Greuther Furth) Yellow Card at 1',2024-08-05 09:30:51
12749,711810,1,43495792,25',Julian Green (SpVgg Greuther Furth) Penalty - Scored at 25',2024-08-05 09:30:51
12749,711810,2,43495799,41',Malik Batmaz (Preußen Münster) Goal at 41',2024-08-05 09:30:51
12749,711810,3,43495820,50',Dennis Srbeny (SpVgg Greuther Furth) Goal at 50',2024-08-05 09:30:51
12749,711810,4,43495825,54',Jano Horst (Preußen Münster) Yellow Card at 54',2024-08-05 09:30:51
12749,711810,5,43495826,55',Gideon Jung (SpVgg Greuther Furth) Goal at 55',2024-08-05 09:30:51
12749,711810,6,43495839,64',Etienne Amenyido (Preußen Münster) Substitution at 64',2024-08-05 09:30:51
12749,711810,7,43495840,64',Daniel Kyerewaa (Preußen Münster) Substitution at 64',2024-08-05 09:30:51
12749,711810,8,43495851,71',Marlon Mustapha (SpVgg Greuther Furth) Substitution at 71',2024-08-05 09:30:51
12749,711810,9,43495858,73',Dominik Schad (Preußen Münster) Substitution at 73',2024-08-05 09:30:51
12749,711810,10,43495859,73',Charalampos Makridis (Preußen Münster) Substitution at 73',2024-08-05 09:30:51
12749,711810,11,43495884,80',Reno Munz (SpVgg Greuther Furth) Substitution at 80',2024-08-05 09:30:51
12749,711810,12,43495885,80',Niko Gießelmann (SpVgg Greuther Furth) Substitution at 80',2024-08-05 09:30:51
12749,711810,13,43495901,83',Marc Lorenz (Preußen Münster) Yellow Card at 83',2024-08-05 09:30:51
12749,711810,14,43495919,89',Oualid Mhamdi (SpVgg Greuther Furth) Substitution at 89',2024-08-05 09:30:51
12749,711810,15,43495920,89',Jomaine Consbruch (SpVgg Greuther Furth) Substitution at 89',2024-08-05 09:30:51
12749,711811,0,43488677,11',Nicolo Tresoldi (Hannover 96) Goal at 11',2024-08-04 09:28:48
12749,711811,1,43488714,23',Jannick Dehm (Hannover 96) Goal at 23',2024-08-04 09:28:48
12749,711811,2,43488823,57',Rasim Bulic (SSV Jahn Regensburg) Substitution at 57',2024-08-04 09:28:48
12749,711811,3,43488844,61',Andreas Voglsammer (Hannover 96) Substitution at 61',2024-08-06 09:39:37
12749,711811,4,43488872,68',Eric Hottmann (SSV Jahn Regensburg) Substitution at 68',2024-08-04 09:28:48
12749,711811,5,43488873,68',Mansour Ouro-Tagba (SSV Jahn Regensburg) Substitution at 68',2024-08-04 09:28:48
12749,711811,6,43488884,71',Lars Gindorf (Hannover 96) Substitution at 71',2024-08-04 09:28:48
12749,711811,7,43488885,72',Jessic Ngankam (Hannover 96) Substitution at 72',2024-08-04 09:28:48
12749,711811,8,43488886,72',Max Christiansen (Hannover 96) Substitution at 72',2024-08-04 09:28:48
12749,711811,9,43488937,84',Brooklyn Ezeh (Hannover 96) Substitution at 84',2024-08-04 09:28:48
12749,711811,10,43488938,85',Max Christiansen (Hannover 96) Yellow Card at 85',2024-08-04 09:28:48
12749,711811,11,43488953,87',Dejan Galjen (SSV Jahn Regensburg) Substitution at 87',2024-08-04 09:28:48
12749,711811,12,43488954,87',Robin Ziegele (SSV Jahn Regensburg) Substitution at 87',2024-08-04 09:28:48
12749,711812,0,43488671,8',Leon Jensen (Karlsruher SC) Yellow Card at 8',2024-08-04 09:28:48
12749,711812,1,43488700,20',Kanji Okunuki (1. FC Nürnberg) Goal at 20',2024-08-04 09:28:48
12749,711812,2,43488737,31',Florian Pick (1. FC Nürnberg) Goal at 31',2024-08-04 09:28:48
12749,711812,3,43488769,45'+2',Budu Zivzivadze (Karlsruher SC) Goal at 47',2024-08-04 09:28:48
12749,711812,4,43488776,45'+4',Finn Jeltsch (1. FC Nürnberg) Yellow Card at 49',2024-08-04 09:28:48
12749,711812,5,43488801,52',Dzenis Burnic (Karlsruher SC) Yellow Card at 52',2024-08-04 09:28:48
12749,711812,6,43488825,57',Stefanos Tzimas (1. FC Nürnberg) Substitution at 57',2024-08-04 09:28:48
12749,711812,7,43488869,65',Bambasé Conté (Karlsruher SC) Substitution at 65',2024-08-04 09:28:48
12749,711812,8,43488870,65',David Herold (Karlsruher SC) Substitution at 65',2024-08-04 09:28:48
12749,711812,9,43488871,66',Jens Castrop (1. FC Nürnberg) Yellow Card at 66',2024-08-04 09:28:48
12749,711812,10,43488892,73',Budu Zivzivadze (Karlsruher SC) Goal at 73',2024-08-04 09:28:48
12749,711812,11,43488910,74',Enrico Valentini (1. FC Nürnberg) Substitution at 74',2024-08-04 09:28:48
12749,711812,12,43488911,74',Dustin Forkel (1. FC Nürnberg) Substitution at 74',2024-08-04 09:28:48
12749,711812,13,43488912,74',Ondrej Karafiat (1. FC Nürnberg) Substitution at 74',2024-08-04 09:28:48
12749,711812,14,43488915,77',Robin Heusser (Karlsruher SC) Substitution at 77',2024-08-04 09:28:48
12749,711812,15,43488916,77',Andrin Hunziker (Karlsruher SC) Substitution at 77',2024-08-04 09:28:48
12749,711812,16,43488918,78',Florian Flick (1. FC Nürnberg) Yellow Card at 78',2024-08-04 09:28:48
12749,711812,17,43488919,79',Budu Zivzivadze (Karlsruher SC) Goal at 79',2024-08-04 09:28:48
12749,711812,18,43488946,83',Janni Serra (1. FC Nürnberg) Substitution at 83',2024-08-04 09:28:48
12749,711812,19,43488947,84',Ali-Eren Ersungur (Karlsruher SC) Substitution at 84',2024-08-04 09:28:48
12749,711812,20,43488965,87',Janni Serra (1. FC Nürnberg) Yellow Card at 87',2024-08-04 09:28:48
12749,711813,0,43495807,45',Dennis Chessa (SSV Ulm 1846) Yellow Card at 45',2024-08-05 09:30:51
12749,711813,1,43495817,48',Felix Higl (SSV Ulm 1846) Goal at 48',2024-08-05 09:30:51
12749,711813,2,43495827,55',Jannis Heuer (Kaiserslautern) Yellow Card at 55',2024-08-07 09:40:36
12749,711813,3,43495830,59',Dickson Abiama (Kaiserslautern) Substitution at 59',2024-08-05 09:30:51
12749,711813,4,43495834,61',Maurice Krattenmacher (SSV Ulm 1846) Substitution at 61',2024-08-05 09:30:51
12749,711813,5,43495837,63',Filip Kaloc (Kaiserslautern) Yellow Card at 63',2024-08-05 09:30:51
12749,711813,6,43495848,70',Jannik Mause (Kaiserslautern) Substitution at 70',2024-08-05 09:30:51
12749,711813,7,43495849,71',Jan Gyamerah (Kaiserslautern) Substitution at 71',2024-08-05 09:30:51
12749,711813,8,43495864,77',Boris Tomiak (Kaiserslautern) Penalty - Scored at 77',2024-08-05 09:30:51
12749,711813,9,43495872,78',Luka Hyryläinen (SSV Ulm 1846) Substitution at 78',2024-08-05 09:30:51
12749,711813,10,43495873,78',Jonathan Meier (SSV Ulm 1846) Substitution at 78',2024-08-05 09:30:51
12749,711813,11,43495887,83',Aaron Opoku (Kaiserslautern) Goal at 83',2024-08-05 09:30:51
12749,711813,12,43495909,86',Semir Telalovic (SSV Ulm 1846) Substitution at 86',2024-08-05 09:30:51
12749,711813,13,43495910,87',Tobias Raschl (Kaiserslautern) Substitution at 87',2024-08-05 09:30:51
12749,711813,14,43495911,87',Leon Robinson (Kaiserslautern) Substitution at 87',2024-08-05 09:30:51
12749,711813,15,43495912,88',Philipp Strompf (SSV Ulm 1846) Yellow Card at 88',2024-08-05 09:30:51
12749,711813,16,43495924,90'+2',Daniel Hanslik (Kaiserslautern) Yellow Card at 92',2024-08-05 09:30:51
12749,711814,0,43495822,54',Fabian Nürnberger (SV Darmstadt 98) Yellow Card at 54',2024-08-05 09:30:51
12749,711814,1,43495823,55',Aleksandar Vukotic (SV Darmstadt 98) Own Goal at 55',2024-08-05 09:30:51
12749,711814,2,43495836,63',Fraser Hornby (SV Darmstadt 98) Substitution at 63',2024-08-05 09:30:51
12749,711814,3,43495846,69',Jona Niemiec (Fortuna Düsseldorf) Substitution at 69',2024-08-05 09:30:51
12749,711814,4,43495867,74',Fynn-Luca Lakenmacher (SV Darmstadt 98) Substitution at 74',2024-08-05 09:30:51
12749,711814,5,43495868,75',Othmane El Idrissi (SV Darmstadt 98) Substitution at 75',2024-08-05 09:30:51
12749,711814,6,43495869,75',Merveille Papela (SV Darmstadt 98) Substitution at 75',2024-08-05 09:30:51
