seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
12836,716631,0,43612787,54',Argyrios Liatsikouras (Olympiacos U20) Goal at 54',2024-08-29 05:45:04
12836,716631,1,43613030,61',Jean Carlos (Flamengo S20) Substitution at 61',2024-08-29 05:45:04
12836,716631,2,43613031,61',Caio Vinicius (Flamengo S20) Substitution at 61',2024-08-29 05:45:04
12836,716631,3,43613132,65',Felipe Teresa (Flamengo S20) Substitution at 65',2024-08-29 05:45:04
12836,716631,4,43613175,68',Theofanis Bakoulas (Olympiacos U20) Yellow Card at 68',2024-08-29 05:45:04
12836,716631,5,43613304,73',Caio Vinicius (Flamengo S20) Goal at 73',2024-08-29 05:45:04
12836,716631,6,43613701,86',Da Mata (Flamengo S20) Substitution at 86',2024-08-29 05:45:04
12836,716631,7,43613702,86',Adriel (Flamengo S20) Substitution at 86',2024-08-29 05:45:04
12836,716631,8,43613854,90'+2',Felipe Teresa (Flamengo S20) Goal at 92',2024-08-29 05:45:04
12836,716631,9,43613883,90'+2',Felipe Teresa (Flamengo S20) Yellow Card at 92',2024-08-29 05:45:04
12815,715587,0,43893224,23',Anestis Vlachomitros (Lamia) Red Card at 23',2024-10-29 05:21:26
12815,715587,1,43893304,32',Mohamed Fares (Panserraikos FC) Yellow Card at 32',2024-10-29 05:21:26
12815,715587,2,43893540,36',Panagiotis Deligiannidis (Panserraikos FC) Goal at 36',2024-10-29 05:21:26
12815,715587,3,43893575,40',Paschalis Staikos (Panserraikos FC) Yellow Card at 40',2024-10-29 05:21:26
12815,715587,4,43893620,45'+4',Francisco Perruzzi (Panserraikos FC) Yellow Card at 49',2024-10-29 05:21:26
12815,715587,5,43893710,45',Angelos Liasos (Panserraikos FC) Substitution at 45',2024-10-29 05:21:26
12815,715587,6,43894205,57',Francisco Perruzzi (Panserraikos FC) Red Card at 57',2024-10-29 05:21:26
12815,715587,7,43894208,58',Mathías Tomás (Panserraikos FC) Yellow Card at 58',2024-10-29 05:21:26
12815,715587,8,43894210,60',Aristotelis Karasalidis (Panserraikos FC) Substitution at 60',2024-10-29 05:21:26
12815,715587,9,43894211,61',Jérémy Gelin (Panserraikos FC) Substitution at 61',2024-10-29 05:21:26
12815,715587,10,43894224,63',Jefté (Panserraikos FC) Goal at 63',2024-10-29 05:21:26
12815,715587,11,43894225,65',Giannis Doiranlis (Lamia) Substitution at 65',2024-10-29 05:21:26
12815,715587,12,43894226,65',Saliou Guindo (Lamia) Substitution at 65',2024-10-29 05:21:26
12815,715587,13,43894241,65',Artem Bykov (Lamia) Substitution at 65',2024-10-29 05:21:26
12815,715587,14,43894242,67',Sebastian Ring (Lamia) Goal at 67',2024-10-29 05:21:26
12815,715587,15,43894274,75',Milos Deletic (Panserraikos FC) Substitution at 75',2024-10-29 05:21:26
12815,715587,16,43894318,84',Georgios Saramantas (Lamia) Substitution at 84',2024-10-29 05:21:26
12815,715587,17,43894319,84',Alberto Simoni (Lamia) Substitution at 84',2024-10-29 05:21:26
12815,715587,18,43894350,90'+2',Jefté (Panserraikos FC) Yellow Card at 92',2024-10-29 05:21:26
12815,715587,19,43894351,90'+3',Gustavo Furtado (Lamia) Yellow Card at 93',2024-10-29 05:21:26
12815,715588,0,43886554,17',Francisco Velez (Aris) Yellow Card at 17',2024-10-29 05:21:26
