seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
12867,733168,7525,home,0,5-4-1,1,1,1,185648,Hossein Hosseini,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-03-04 05:51:04
12867,733168,7525,home,0,5-4-1,1,1,10,218086,Ramin Rezaeian,Right Back,2,0,0,-1,,,,0,0,-1,,,,2025-03-04 05:51:04
12867,733168,7525,home,0,5-4-1,1,1,44,270921,Armin Sohrabian,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-03-04 05:51:04
12867,733168,7525,home,0,5-4-1,1,1,55,192807,Raphael Silva,Center Left Defender,4,0,0,-1,,,,0,0,-1,,,,2025-03-04 05:51:04
12867,733168,7525,home,0,5-4-1,1,1,4,253376,Roozbeh Cheshmi,Center Defender,5,0,0,-1,,,,0,0,-1,,,,2025-03-04 05:51:04
12867,733168,7525,home,0,5-4-1,1,1,27,317748,Saleh Hardani,Center Right Defender,6,0,0,-1,,,,0,0,-1,,,,2025-03-04 05:51:04
12867,733168,7525,home,0,5-4-1,1,1,87,399639,Mehran Ahmadi,Right Midfielder,7,0,0,-1,,,,1,187939,77,187939.0,4228.0,71',2025-03-04 05:51:04
12867,733168,7525,home,0,5-4-1,1,1,88,211721,Arash Rezavand,Center Right Midfielder,8,0,0,-1,,,,0,0,-1,,,,2025-03-04 05:51:04
12867,733168,7525,home,0,5-4-1,1,1,9,270948,Mohammadreza Azadi,Forward,9,0,0,-1,,,,1,321602,11,321602.0,2700.0,45',2025-03-04 05:51:04
12867,733168,7525,home,0,5-4-1,1,1,22,215170,Didier N'Dong,Center Left Midfielder,10,0,0,-1,,,,0,0,-1,,,,2025-03-04 05:51:04
12867,733168,7525,home,0,5-4-1,1,1,20,266716,Ali Kooshki,Left Midfielder,11,0,0,-1,,,,0,0,-1,,,,2025-03-04 05:51:04
12867,733168,7525,home,0,5-4-1,1,0,6,194862,Iman Salimi,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-03-04 05:51:04
12867,733168,7525,home,0,5-4-1,1,0,14,286278,Mohammad Zobeir Niknafs,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-03-04 05:51:04
12867,733168,7525,home,0,5-4-1,1,0,77,187939,Jaloliddin Masharipov,Substitute,0,1,399639,87,399639.0,4228.0,71',0,0,-1,,,,2025-03-04 05:51:04
12867,733168,7525,home,0,5-4-1,1,0,2,185782,Mohammad Moradmand,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-03-04 05:51:04
12867,733168,7525,home,0,5-4-1,1,0,15,372041,Abolfazl Zamani,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-03-04 05:51:04
