seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
12442,719840,9967,home,0,4-1-2-1-2,1,1,22,191997,Marcos Felipe,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12442,719840,9967,home,0,4-1-2-1-2,1,1,13,164756,Santiago Arias,Right Back,2,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12442,719840,9967,home,0,4-1-2-1-2,1,1,46,304757,Luciano,Left Back,3,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12442,719840,9967,home,0,4-1-2-1-2,1,1,19,299932,Caio Alexandre,Defensive Midfielder,4,0,0,-1,,,,1,217415,5,217415.0,5181.0,87',2024-10-14 06:59:34
12442,719840,9967,home,0,4-1-2-1-2,1,1,3,336604,Gabriel Xavier,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12442,719840,9967,home,0,4-1-2-1-2,1,1,4,252973,Kanu,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12442,719840,9967,home,0,4-1-2-1-2,1,1,10,199017,Éverton Ribeiro,Right Midfielder,7,0,0,-1,,,,1,199087,14,199087.0,5188.0,87',2024-10-14 06:59:34
12442,719840,9967,home,0,4-1-2-1-2,1,1,8,260392,Cauly Oliveira Souza,Attacking Midfielder,8,0,0,-1,,,,1,252800,25,252800.0,5176.0,87',2024-10-14 06:59:34
12442,719840,9967,home,0,4-1-2-1-2,1,1,16,218938,Thaciano,Center Left Forward,9,0,0,-1,,,,1,269675,7,269675.0,4642.0,78',2024-10-14 06:59:34
12442,719840,9967,home,0,4-1-2-1-2,1,1,9,167845,Everaldo,Center Right Forward,10,0,0,-1,,,,1,118688,17,118688.0,3994.0,67',2024-10-14 06:59:34
12442,719840,9967,home,0,4-1-2-1-2,1,1,6,269910,Jean Lucas,Left Midfielder,11,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12442,719840,9967,home,0,4-1-2-1-2,1,0,1,143818,Danilo Fernandes,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12442,719840,9967,home,0,4-1-2-1-2,1,0,15,200303,Víctor Cuesta,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12442,719840,9967,home,0,4-1-2-1-2,1,0,14,199087,Carlos De Peña,Substitute,0,1,199017,10,199017.0,5188.0,87',0,0,-1,,,,2024-10-14 06:59:34
12442,719840,9967,home,0,4-1-2-1-2,1,0,17,118688,Luciano Rodríguez,Substitute,0,1,167845,9,167845.0,3994.0,67',0,0,-1,,,,2024-10-14 06:59:34
12442,719840,9967,home,0,4-1-2-1-2,1,0,25,252800,Iago,Substitute,0,1,260392,8,260392.0,5176.0,87',0,0,-1,,,,2024-10-14 06:59:34
12442,719840,9967,home,0,4-1-2-1-2,1,0,40,191411,Cicinho,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12442,719840,9967,home,0,4-1-2-1-2,1,0,31,191995,Vitor Hugo,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12442,719840,9967,home,0,4-1-2-1-2,1,0,20,202554,Yago Felipe,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12442,719840,9967,home,0,4-1-2-1-2,1,0,5,217415,Julio Cesar,Substitute,0,1,299932,19,299932.0,5181.0,87',0,0,-1,,,,2024-10-14 06:59:34
12442,719840,9967,home,0,4-1-2-1-2,1,0,33,219090,David Duarte,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12442,719840,9967,home,0,4-1-2-1-2,1,0,7,269675,Ademir,Substitute,0,1,218938,16,218938.0,4642.0,78',0,0,-1,,,,2024-10-14 06:59:34
12442,719840,9967,home,0,4-1-2-1-2,1,0,77,387395,Tiago Souza De Jesus Carvalho,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12442,719840,819,away,1,4-2-3-1,1,1,25,315201,Matheus Cunha,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12442,719840,819,away,1,4-2-3-1,1,1,2,188368,Gullermo Varela,Right Back,2,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12442,719840,819,away,1,4-2-3-1,1,1,6,203077,Ayrton Lucas,Left Back,3,0,0,-1,,,,1,98398,23,98398.0,5282.0,89',2024-10-14 06:59:34
12442,719840,819,away,1,4-2-3-1,1,1,3,252316,Léo Ortiz,Left Midfielder,4,0,0,-1,,,,1,334752,52,334752.0,4305.0,72',2024-10-14 06:59:34
12442,719840,819,away,1,4-2-3-1,1,1,15,236111,Fabrício Bruno,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12442,719840,819,away,1,4-2-3-1,1,1,4,145405,Léo Pereira,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12442,719840,819,away,1,4-2-3-1,1,1,7,234765,Luiz Araújo,Attacking Midfielder Right,7,0,0,-1,,,,1,332354,43,332354.0,4741.0,80',2024-10-14 06:59:34
12442,719840,819,away,1,4-2-3-1,1,1,5,202533,Erick Pulgar,Right Midfielder,8,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12442,719840,819,away,1,4-2-3-1,1,1,27,201683,Bruno Henrique,Forward,9,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12442,719840,819,away,1,4-2-3-1,1,1,18,251889,Nicolás de la Cruz,Attacking Midfielder,10,0,0,-1,,,,1,255617,30,255617.0,4308.0,72',2024-10-14 06:59:34
12442,719840,819,away,1,4-2-3-1,1,1,8,210135,Gerson,Attacking Midfielder Left,11,0,0,-1,,,,1,322658,48,,,,2024-10-14 06:59:34
12442,719840,819,away,1,4-2-3-1,1,0,56,366742,Felipe Lima,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12442,719840,819,away,1,4-2-3-1,1,0,23,98398,David Luiz,Substitute,0,1,203077,6,203077.0,5282.0,89',0,0,-1,,,,2024-10-14 06:59:34
12442,719840,819,away,1,4-2-3-1,1,0,44,379318,João Victor Schlickmann Carbone,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12442,719840,819,away,1,4-2-3-1,1,0,1,215388,Agustín Rossi,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12442,719840,819,away,1,4-2-3-1,1,0,48,322658,Igor,Substitute,0,1,210135,8,210135.0,5320.0,89',0,0,-1,,,,2024-10-14 06:59:34
12442,719840,819,away,1,4-2-3-1,1,0,33,329267,Cleiton,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12442,719840,819,away,1,4-2-3-1,1,0,43,332354,Wesley França,Substitute,0,1,234765,7,234765.0,4741.0,80',0,0,-1,,,,2024-10-14 06:59:34
12442,719840,819,away,1,4-2-3-1,1,0,20,334379,Matheus Gonçalves,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12442,719840,819,away,1,4-2-3-1,1,0,52,334752,Evertton,Substitute,0,1,252316,3,252316.0,4305.0,72',0,0,-1,,,,2024-10-14 06:59:34
12442,719840,819,away,1,4-2-3-1,1,0,49,343843,Dyogo,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12442,719840,819,away,1,4-2-3-1,1,0,19,357117,Lorran,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12442,719840,819,away,1,4-2-3-1,1,0,30,255617,Michael Delgado,Substitute,0,1,251889,18,251889.0,4308.0,72',0,0,-1,,,,2024-10-14 06:59:34
12442,719841,6270,home,1,4-2-3-1,1,1,1,155156,Gabriel,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12442,719841,6270,home,1,4-2-3-1,1,1,2,285280,João,Right Back,2,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12442,719841,6270,home,1,4-2-3-1,1,1,28,130645,Alan Ruschel,Left Back,3,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12442,719841,6270,home,1,4-2-3-1,1,1,30,252543,Dudu,Left Midfielder,4,0,0,-1,,,,1,205451,34,205451.0,4624.0,78',2024-10-14 06:59:34
12442,719841,6270,home,1,4-2-3-1,1,1,4,270376,Danilo Boza,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12442,719841,6270,home,1,4-2-3-1,1,1,3,228400,Ze Marcos,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12442,719841,6270,home,1,4-2-3-1,1,1,21,248584,Lucas Barbosa,Attacking Midfielder Right,7,0,0,-1,,,,1,94310,17,94310.0,5167.0,87',2024-10-14 06:59:34
12442,719841,6270,home,1,4-2-3-1,1,1,5,269642,Luis,Right Midfielder,8,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12442,719841,6270,home,1,4-2-3-1,1,1,79,214113,Ronie Carrillo,Forward,9,0,0,-1,,,,1,192510,13,192510.0,5200.0,87',2024-10-14 06:59:34
12442,719841,6270,home,1,4-2-3-1,1,1,10,36805,Nenê,Attacking Midfielder,10,0,0,-1,,,,1,198580,20,198580.0,3860.0,65',2024-10-14 06:59:34
12442,719841,6270,home,1,4-2-3-1,1,1,7,271407,Erick,Attacking Midfielder Left,11,0,0,-1,,,,1,304363,11,304363.0,3876.0,65',2024-10-14 06:59:34
12442,719841,6270,home,1,4-2-3-1,1,0,34,205451,Rodrigo Sam,Substitute,0,1,252543,30,252543.0,4624.0,78',0,0,-1,,,,2024-10-14 06:59:34
12442,719841,6270,home,1,4-2-3-1,1,0,11,304363,Marcelinho,Substitute,0,1,271407,7,271407.0,3876.0,65',0,0,-1,,,,2024-10-14 06:59:34
12442,719841,6270,home,1,4-2-3-1,1,0,15,314605,Kelvi,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12442,719841,6270,home,1,4-2-3-1,1,0,20,198580,Jean,Substitute,0,1,36805,10,36805.0,3860.0,65',0,0,-1,,,,2024-10-14 06:59:34
12442,719841,6270,home,1,4-2-3-1,1,0,70,337018,Yan,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12442,719841,6270,home,1,4-2-3-1,1,0,13,192510,Diego,Substitute,0,1,214113,79,214113.0,5200.0,87',0,0,-1,,,,2024-10-14 06:59:34
12442,719841,6270,home,1,4-2-3-1,1,0,36,354799,Cauã Da Rocha,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
