seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
12749,711807,122,home,0,4-1-2-1-2,1,1,40,323790,Jonas Urbig,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711807,122,home,0,4-1-2-1-2,1,1,29,300444,Jan Thielmann,Right Back,2,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711807,122,home,0,4-1-2-1-2,1,1,17,205972,Leart Paqarada,Left Back,3,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711807,122,home,0,4-1-2-1-2,1,1,6,290398,Eric Martel,Defensive Midfielder,4,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711807,122,home,0,4-1-2-1-2,1,1,4,238520,Timo Hübers,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711807,122,home,0,4-1-2-1-2,1,1,24,387975,Julian Pauli,Center Left Defender,6,0,0,-1,,,,1,167683,3,167683.0,5220.0,87',2024-10-14 06:59:34
12749,711807,122,home,0,4-1-2-1-2,1,1,7,262862,Dejan Ljubicic,Right Midfielder,7,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711807,122,home,0,4-1-2-1-2,1,1,9,191352,Luca Waldschmidt,Attacking Midfielder,8,0,0,-1,,,,1,231173,37,231173.0,3420.0,57',2024-10-14 06:59:34
12749,711807,122,home,0,4-1-2-1-2,1,1,19,303792,Tim Lemperle,Center Left Forward,9,0,0,-1,,,,1,238566,33,238566.0,4560.0,76',2024-10-14 06:59:34
12749,711807,122,home,0,4-1-2-1-2,1,1,42,359707,Damion Downs,Center Right Forward,10,0,0,-1,,,,1,182427,23,182427.0,3420.0,57',2024-10-14 06:59:34
12749,711807,122,home,0,4-1-2-1-2,1,1,8,343969,Denis Huseinbasic,Left Midfielder,11,0,0,-1,,,,1,312337,16,312337.0,5220.0,87',2024-10-14 06:59:34
12749,711807,122,home,0,4-1-2-1-2,1,0,3,167683,Dominique Heintz,Substitute,0,1,387975,24,387975.0,5220.0,87',0,0,-1,,,,2024-10-14 06:59:34
12749,711807,122,home,0,4-1-2-1-2,1,0,20,89497,Philipp Pentke,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711807,122,home,0,4-1-2-1-2,1,0,36,387974,Meiko Wäschenbach,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711807,122,home,0,4-1-2-1-2,1,0,47,294277,Mathias Olesen,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711807,122,home,0,4-1-2-1-2,1,0,18,290035,Rasmus Carstensen,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12749,711807,122,home,0,4-1-2-1-2,1,0,33,238566,Florian Dietz,Substitute,0,1,303792,19,303792.0,4560.0,76',0,0,-1,,,,2024-10-14 06:59:34
