seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12915,2024,AUS.W.1,21991,23468,19,0,4,8,1,0,0,0,0,0,3,0,0,0,22,2025-03-17 04:41:58
12915,2024,AUS.W.1,21133,109134,18,0,3,22,0,0,0,5,0,11,32,3,0,0,25,2025-03-17 04:42:00
12915,2024,AUS.W.1,20288,158675,16,2,5,5,0,0,0,2,0,10,25,6,0,0,24,2025-03-17 04:41:58
12915,2024,AUS.W.1,20280,158686,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2025-03-17 04:41:58
12915,2024,AUS.W.1,20281,158688,15,0,4,33,0,0,0,1,0,23,53,9,0,0,19,2025-03-17 04:41:58
12915,2024,AUS.W.1,20282,158695,14,0,0,0,0,0,0,0,0,0,0,0,0,48,22,2025-03-17 04:41:59
12915,2024,AUS.W.1,20285,172518,6,0,0,0,0,0,0,0,0,0,0,0,0,15,9,2025-03-17 04:42:00
12915,2024,AUS.W.1,20280,175238,16,0,7,7,0,0,0,1,0,5,6,0,0,0,15,2025-03-17 04:41:58
12915,2024,AUS.W.1,20284,213801,18,0,5,5,1,0,0,0,0,3,7,3,0,0,17,2025-03-17 04:41:59
12915,2024,AUS.W.1,20285,223046,19,0,13,6,3,0,0,0,0,2,11,0,0,0,27,2025-03-17 04:42:00
12915,2024,AUS.W.1,20286,226437,6,3,5,6,0,0,0,3,0,0,4,0,0,0,6,2025-03-17 04:41:57
12915,2024,AUS.W.1,21666,236711,18,0,15,22,3,0,0,2,0,22,60,7,0,0,33,2025-03-17 04:42:01
12915,2024,AUS.W.1,20282,243227,15,1,14,16,1,0,0,2,0,4,27,2,0,0,26,2025-03-17 04:41:59
12915,2024,AUS.W.1,20280,249292,19,0,7,9,1,0,0,0,0,0,3,0,0,0,20,2025-03-17 04:41:58
12915,2024,AUS.W.1,20283,259618,18,0,10,12,2,0,0,2,0,3,13,2,0,0,35,2025-03-17 04:42:00
12915,2024,AUS.W.1,20284,259619,17,0,12,33,1,0,0,3,0,6,22,1,0,0,17,2025-03-17 04:41:59
12915,2024,AUS.W.1,20284,259620,15,1,11,6,1,0,1,0,0,22,52,10,0,0,14,2025-03-17 04:41:59
12915,2024,AUS.W.1,20282,259636,16,1,23,20,2,0,0,0,0,3,7,0,0,0,21,2025-03-17 04:41:59
12915,2024,AUS.W.1,20285,259866,19,3,13,17,0,0,0,1,0,12,27,3,0,0,20,2025-03-17 04:42:00
12915,2024,AUS.W.1,20280,261759,19,1,20,15,0,0,0,3,0,13,47,6,0,0,17,2025-03-17 04:41:58
12915,2024,AUS.W.1,20287,264398,14,1,7,8,0,0,0,0,0,11,28,3,0,0,26,2025-03-17 04:41:59
12915,2024,AUS.W.1,20288,264968,18,0,9,5,0,0,0,0,0,2,10,1,0,0,26,2025-03-17 04:41:58
12915,2024,AUS.W.1,20286,280013,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-17 04:41:57
12915,2024,AUS.W.1,21133,286885,18,3,9,7,3,0,0,2,0,12,38,5,0,0,16,2025-03-17 04:42:00
12915,2024,AUS.W.1,20280,288988,18,6,10,3,1,0,0,1,0,2,5,0,0,0,13,2025-03-17 04:41:58
12915,2024,AUS.W.1,20286,292463,19,0,1,2,1,0,0,0,0,0,0,0,0,74,25,2025-03-17 04:41:57
12915,2024,AUS.W.1,21133,292544,17,3,10,8,2,0,0,1,0,13,37,2,0,0,19,2025-03-17 04:42:00
12915,2024,AUS.W.1,20283,292977,17,6,12,6,0,0,0,0,0,3,8,2,0,0,23,2025-03-17 04:42:00
12915,2024,AUS.W.1,21133,293126,19,0,20,17,1,0,0,2,0,11,36,2,0,0,25,2025-03-17 04:42:00
12915,2024,AUS.W.1,21991,293181,5,0,4,5,1,0,0,0,0,0,2,0,0,0,7,2025-01-14 05:29:11
12915,2024,AUS.W.1,20284,293183,18,0,21,19,1,0,0,3,0,11,27,2,0,0,16,2025-03-17 04:41:59
12915,2024,AUS.W.1,21666,293279,19,3,10,4,0,0,0,2,0,6,29,2,0,0,31,2025-03-17 04:42:01
12915,2024,AUS.W.1,20282,293935,13,1,6,6,0,0,0,2,0,11,37,3,0,0,21,2025-03-17 04:41:59
12915,2024,AUS.W.1,20286,294263,19,0,11,10,1,0,2,2,0,4,13,3,0,0,22,2025-03-17 04:41:57
12915,2024,AUS.W.1,21991,294761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-17 04:41:58
12915,2024,AUS.W.1,21666,295896,20,6,7,14,2,0,0,2,0,8,24,0,0,0,27,2025-03-17 04:42:01
12915,2024,AUS.W.1,20280,295964,18,2,28,38,4,0,0,7,0,11,27,4,0,0,17,2025-03-17 04:41:58
12915,2024,AUS.W.1,21991,298483,19,0,0,1,2,0,0,0,0,0,0,0,0,78,22,2025-03-17 04:41:58
12915,2024,AUS.W.1,21133,298614,19,12,10,4,1,0,0,1,0,14,28,2,0,0,15,2025-03-17 04:42:00
12915,2024,AUS.W.1,20284,298746,18,0,10,2,3,0,0,2,0,2,8,1,0,0,17,2025-03-17 04:41:59
12915,2024,AUS.W.1,20282,300430,19,1,24,7,1,0,0,0,0,4,13,0,0,0,35,2025-03-17 04:41:59
12915,2024,AUS.W.1,20282,300432,3,0,4,3,1,0,0,0,0,0,4,0,0,0,5,2025-03-17 04:41:59
12915,2024,AUS.W.1,20286,300437,15,2,9,12,1,0,0,3,0,18,37,7,0,0,17,2025-03-17 04:41:57
12915,2024,AUS.W.1,20286,300440,19,1,16,8,1,0,0,2,0,4,9,1,0,0,23,2025-03-17 04:41:57
12915,2024,AUS.W.1,20281,300520,16,0,18,13,2,0,0,4,0,1,7,1,0,0,21,2025-03-17 04:41:58
12915,2024,AUS.W.1,20284,300522,18,0,0,2,0,0,0,0,0,0,0,0,0,56,17,2025-03-17 04:41:59
12915,2024,AUS.W.1,20282,300524,2,2,1,1,0,0,0,0,0,2,3,1,0,0,2,2025-03-17 04:41:59
12915,2024,AUS.W.1,20284,300527,7,6,2,7,2,0,0,0,0,1,1,0,0,0,3,2025-03-17 04:41:59
12915,2024,AUS.W.1,20286,300529,17,1,4,5,0,0,0,3,0,11,17,6,0,0,18,2025-03-17 04:41:57
12915,2024,AUS.W.1,20280,300532,19,0,14,26,2,0,0,1,0,9,15,4,0,0,20,2025-03-17 04:41:58
12915,2024,AUS.W.1,20283,300533,17,0,3,3,2,1,1,0,0,0,0,0,0,80,29,2025-03-17 04:42:00
12915,2024,AUS.W.1,20286,300536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-17 04:41:57
12915,2024,AUS.W.1,20288,300539,19,0,6,15,1,0,0,1,0,6,22,0,0,0,28,2025-03-17 04:41:58
12915,2024,AUS.W.1,20282,300541,7,0,3,1,1,0,0,0,0,10,14,3,0,0,11,2025-03-17 04:41:59
12915,2024,AUS.W.1,20285,300545,4,0,1,8,0,0,0,0,0,0,4,0,0,0,5,2025-03-17 04:42:00
12915,2024,AUS.W.1,20287,300553,17,4,13,7,0,0,0,1,0,11,29,2,0,0,24,2025-03-17 04:41:59
12915,2024,AUS.W.1,20280,300556,19,3,7,4,1,0,0,1,0,12,40,4,0,0,16,2025-03-17 04:41:58
12915,2024,AUS.W.1,21666,300557,20,0,5,17,0,0,0,3,0,9,16,4,0,0,42,2025-03-17 04:42:01
12915,2024,AUS.W.1,20284,300561,18,1,6,9,0,0,0,2,0,13,27,2,0,0,13,2025-03-17 04:41:59
12915,2024,AUS.W.1,20287,300563,19,0,11,16,0,0,0,2,0,8,37,2,0,0,41,2025-03-17 04:41:59
