seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12625,2024,DEN.1,607,12577,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,2024-09-24 04:54:34
12625,2024,DEN.1,575,33435,18,0,7,10,1,0,0,1,0,1,9,0,0,0,27,2025-03-13 04:45:15
12625,2024,DEN.1,21933,87487,26,7,0,0,5,0,0,0,0,0,0,0,0,0,30,2024-07-13 02:45:58
12625,2024,DEN.1,7853,99920,21,0,0,1,0,0,0,0,0,0,0,0,0,49,20,2025-03-13 04:45:15
12625,2024,DEN.1,7860,105216,3,0,2,0,0,0,0,0,0,0,0,0,0,0,5,2025-01-01 05:39:42
12625,2024,DEN.1,7860,106073,11,3,2,3,1,0,0,0,0,0,7,0,0,0,11,2025-03-13 04:45:16
12625,2024,DEN.1,12498,107063,17,11,9,3,0,0,0,2,0,5,8,0,0,0,12,2025-03-13 04:45:18
12625,2024,DEN.1,11550,108321,10,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2024-07-13 02:45:57
12625,2024,DEN.1,572,109962,15,2,14,11,4,0,0,1,0,1,9,0,0,0,14,2025-01-01 05:39:42
12625,2024,DEN.1,7853,118411,21,0,29,20,1,0,0,0,0,25,45,15,0,0,17,2025-03-13 04:45:15
12625,2024,DEN.1,3101,129916,12,0,6,3,2,0,0,0,0,0,3,0,0,0,18,2025-03-13 04:45:16
12625,2024,DEN.1,3132,131741,13,13,0,3,0,0,0,0,0,0,1,0,0,0,3,2025-03-13 04:45:17
12625,2024,DEN.1,7853,133567,16,1,17,15,2,0,0,0,0,2,6,1,0,0,12,2025-03-13 04:45:15
12625,2024,DEN.1,12498,134000,5,3,1,1,0,0,0,0,0,0,1,0,0,0,5,2025-03-13 04:45:18
12625,2024,DEN.1,3101,134257,8,4,1,3,0,0,0,0,0,0,0,0,0,0,6,2025-03-13 04:45:16
12625,2024,DEN.1,12498,137404,19,13,12,5,1,0,0,0,0,3,14,1,0,0,13,2025-03-13 04:45:18
12625,2024,DEN.1,7860,142329,11,8,10,10,3,0,0,0,0,0,1,0,0,0,5,2025-03-13 04:45:16
12625,2024,DEN.1,3101,145645,21,0,0,1,0,0,0,0,0,0,0,0,0,45,35,2025-03-13 04:45:16
12625,2024,DEN.1,3101,146803,19,0,13,23,6,0,0,3,0,12,25,3,0,0,27,2025-03-13 04:45:16
12625,2024,DEN.1,11550,147001,24,5,0,0,3,0,0,0,0,0,0,0,0,0,30,2024-07-13 02:45:57
12625,2024,DEN.1,7853,150039,9,9,2,2,1,0,0,0,0,0,0,0,0,0,1,2025-03-13 04:45:15
12625,2024,DEN.1,607,150067,21,0,0,7,0,0,0,0,0,0,0,0,0,61,25,2025-03-13 04:45:17
12625,2024,DEN.1,909,151053,10,2,10,15,2,1,0,2,0,3,10,0,0,0,8,2025-03-13 04:45:16
12625,2024,DEN.1,11550,151443,31,4,0,0,2,0,0,0,0,7,7,7,0,0,33,2024-07-13 02:45:57
12625,2024,DEN.1,909,151757,15,2,28,21,6,0,0,2,0,6,15,2,0,0,12,2025-03-13 04:45:16
