seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12719,2024,ENG.3,350,4948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-17 04:42:58
12719,2024,ENG.3,314,5527,11,4,8,9,1,0,0,0,0,13,26,5,0,0,7,2025-03-17 04:42:55
12719,2024,ENG.3,374,5527,38,8,66,54,9,0,0,2,34,27,79,14,0,0,24,2024-07-13 02:56:39
12719,2024,ENG.3,302,5882,25,10,19,23,4,0,0,1,0,5,11,2,0,0,20,2025-03-17 04:42:57
12719,2024,ENG.3,352,11547,26,17,23,27,3,0,0,0,0,19,55,3,0,0,9,2025-03-17 04:42:58
12719,2024,ENG.3,320,11595,13,2,30,18,4,0,0,0,10,14,34,7,0,0,14,2024-07-13 02:56:36
12719,2024,ENG.3,311,12669,47,3,40,105,7,1,0,5,4,25,72,9,0,0,46,2024-07-13 02:56:43
12719,2024,ENG.3,311,18973,29,2,19,20,4,0,2,1,0,1,10,1,0,0,25,2024-07-13 02:56:43
12719,2024,ENG.3,335,20553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-17 04:42:54
12719,2024,ENG.3,285,22125,14,3,10,14,3,0,0,1,0,4,7,0,0,0,11,2025-03-17 04:42:57
12719,2024,ENG.3,352,26614,31,7,31,41,3,0,0,3,0,19,44,7,0,0,19,2025-03-17 04:42:58
12719,2024,ENG.3,392,28761,20,13,11,8,3,0,0,0,0,5,7,2,0,0,7,2025-03-17 04:42:51
12719,2024,ENG.3,350,32572,12,0,13,11,0,0,0,1,0,1,2,1,0,0,7,2025-03-17 04:42:58
12719,2024,ENG.3,304,34595,7,1,0,0,0,0,0,0,0,0,0,0,0,5,8,2025-03-17 04:42:55
12719,2024,ENG.3,309,38095,26,8,35,24,6,1,0,1,0,2,8,0,0,0,16,2025-03-17 04:42:55
12719,2024,ENG.3,285,39188,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2024-08-31 05:00:36
12719,2024,ENG.3,320,39488,37,1,28,27,4,1,2,1,0,5,28,1,0,0,46,2024-07-13 02:56:36
12719,2024,ENG.3,402,41190,13,5,7,15,0,0,0,4,0,6,12,3,0,0,12,2025-03-17 04:42:57
12719,2024,ENG.3,372,41311,1,0,1,2,1,0,0,0,0,0,0,0,0,0,1,2025-01-29 14:44:54
12719,2024,ENG.3,352,42189,31,29,28,8,4,0,0,1,0,19,44,7,0,0,9,2025-03-17 04:42:58
12719,2024,ENG.3,352,42252,10,1,0,1,0,0,0,0,0,0,0,0,0,8,10,2025-03-17 04:42:58
12719,2024,ENG.3,308,46565,33,14,4,11,1,0,0,1,0,11,34,3,0,0,29,2025-03-17 04:42:52
