seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12722,2024,ESP.2,87,3141,29,2,19,46,6,0,0,10,0,35,81,12,0,0,28,2025-03-15 04:45:07
12722,2024,ESP.2,1538,3731,30,3,19,72,3,0,0,6,0,14,33,5,0,0,22,2025-03-15 04:45:06
12722,2024,ESP.2,6832,22315,23,9,12,17,2,0,0,1,0,3,9,2,0,0,15,2025-03-15 04:45:03
12722,2024,ESP.2,9322,24278,32,0,1,2,3,0,1,0,3,1,1,0,357,90,41,2024-07-13 02:50:40
12722,2024,ESP.2,92,40202,21,5,5,18,1,0,0,4,0,6,18,1,0,0,17,2025-03-15 04:45:07
12722,2024,ESP.2,5413,42506,21,15,16,11,4,0,0,0,0,4,12,1,0,0,10,2025-03-15 04:45:06
12722,2024,ESP.2,3788,46803,24,10,20,0,5,0,0,3,0,0,7,0,0,0,12,2025-03-15 04:45:08
12722,2024,ESP.2,90,55243,9,9,2,1,0,0,0,0,0,0,1,0,0,0,3,2025-02-05 05:36:30
12722,2024,ESP.2,12587,55246,31,2,29,9,6,1,1,1,2,6,13,4,0,18,33,2024-07-13 02:50:37
12722,2024,ESP.2,3751,57149,23,7,21,9,3,0,0,0,0,18,41,4,0,0,17,2025-03-15 04:45:04
12722,2024,ESP.2,3751,74630,19,11,13,21,2,0,0,2,0,4,16,1,0,0,5,2025-03-15 04:45:04
12722,2024,ESP.2,95,75433,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2024-07-13 02:50:39
12722,2024,ESP.2,2737,76884,3,0,0,0,0,0,0,0,0,0,0,0,0,9,9,2025-03-15 04:45:02
12722,2024,ESP.2,87,77935,18,4,15,16,2,1,1,1,0,3,9,0,0,0,14,2025-03-15 04:45:07
12722,2024,ESP.2,9322,82074,4,1,1,0,0,0,0,0,0,0,0,0,0,0,3,2024-07-13 02:50:40
12722,2024,ESP.2,5419,84064,16,2,13,3,1,0,0,0,0,3,5,0,0,0,22,2025-03-15 04:45:05
12722,2024,ESP.2,1538,87897,30,0,0,4,2,0,0,0,0,0,0,0,0,74,28,2025-03-15 04:45:06
12722,2024,ESP.2,3752,87963,28,8,30,21,3,1,0,0,0,5,11,0,0,0,24,2025-03-15 04:45:04
12722,2024,ESP.2,6832,97026,13,13,11,1,2,0,0,0,0,0,4,0,0,0,1,2025-03-15 04:45:03
12722,2024,ESP.2,2737,101307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-15 04:45:02
12722,2024,ESP.2,95,102978,12,5,2,3,0,0,0,0,0,4,18,1,0,0,3,2024-07-13 02:50:39
12722,2024,ESP.2,3752,103563,2,2,2,0,0,0,0,0,0,0,1,0,0,0,0,2025-03-15 04:45:04
12722,2024,ESP.2,2737,103897,7,0,7,2,1,0,0,0,0,0,2,0,0,0,4,2025-03-15 04:45:02
12722,2024,ESP.2,8447,105756,6,4,4,2,1,0,0,1,0,2,4,2,0,0,2,2025-03-15 04:45:04
12722,2024,ESP.2,3788,106238,2,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2025-03-15 04:45:08
12722,2024,ESP.2,8448,106746,2,0,0,0,0,0,0,0,0,0,0,0,0,6,4,2025-03-15 04:45:07
12722,2024,ESP.2,3751,108107,23,1,46,58,6,1,0,5,0,10,34,4,0,0,16,2025-03-15 04:45:04
12722,2024,ESP.2,8447,108464,26,0,23,33,5,0,0,0,0,8,20,2,0,0,34,2025-03-15 04:45:04
12722,2024,ESP.2,95,110633,41,0,20,32,3,0,0,5,7,4,25,0,0,15,33,2024-07-13 02:50:39
12722,2024,ESP.2,4515,113097,30,0,0,3,3,0,0,0,0,0,0,0,0,70,23,2025-03-15 04:45:06
12722,2024,ESP.2,20179,113699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 02:50:42
12722,2024,ESP.2,17534,114255,42,11,47,53,4,0,0,1,5,31,81,12,0,2,19,2024-07-13 02:50:41
12722,2024,ESP.2,6832,119045,21,8,21,19,5,0,0,3,0,4,13,1,0,0,21,2025-03-15 04:45:03
12722,2024,ESP.2,8447,119310,29,5,30,28,9,0,0,4,0,22,63,5,0,0,30,2025-03-15 04:45:04
12722,2024,ESP.2,88,120708,35,12,20,3,3,1,0,0,5,4,11,1,0,14,24,2024-07-13 02:50:41
12722,2024,ESP.2,88,121023,16,5,10,5,4,0,0,2,5,0,6,0,0,4,11,2024-07-13 02:50:41
12722,2024,ESP.2,91,121598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-15 04:45:07
12722,2024,ESP.2,11121,121989,24,6,9,6,3,0,0,0,1,0,6,0,0,18,33,2024-07-13 02:50:36
12722,2024,ESP.2,5413,122444,25,0,22,22,10,1,0,1,0,9,25,6,0,0,18,2025-03-15 04:45:06
12722,2024,ESP.2,92,123743,29,0,24,7,8,0,0,1,0,4,10,1,0,0,31,2025-03-15 04:45:07
12722,2024,ESP.2,2737,123864,21,2,11,7,3,1,0,1,0,0,7,0,0,0,21,2025-03-15 04:45:02
12722,2024,ESP.2,90,124565,20,4,11,20,3,0,1,0,0,1,5,0,0,0,21,2025-03-15 04:45:04
12722,2024,ESP.2,12597,124671,27,11,16,7,3,0,0,1,0,11,30,1,0,0,15,2025-03-15 04:45:03
12722,2024,ESP.2,245,125203,22,11,14,12,0,0,0,0,0,9,25,1,0,0,10,2025-03-15 04:45:08
12722,2024,ESP.2,1538,125206,15,9,6,5,2,0,0,0,0,1,2,1,0,0,9,2025-03-15 04:45:06
12722,2024,ESP.2,8448,125729,25,12,19,39,2,0,0,1,0,11,23,2,0,0,19,2025-03-15 04:45:07
12722,2024,ESP.2,5419,125778,17,6,1,5,1,0,0,1,0,0,5,0,0,0,19,2025-02-07 05:38:38
12722,2024,ESP.2,3752,128045,17,2,16,7,5,2,0,0,0,1,4,1,0,0,17,2025-03-15 04:45:04
12722,2024,ESP.2,90,128372,30,0,18,14,2,0,0,0,0,2,13,1,0,0,35,2025-03-15 04:45:04
12722,2024,ESP.2,87,128374,25,8,9,19,2,0,0,0,0,3,11,1,0,0,19,2025-03-15 04:45:07
12722,2024,ESP.2,11121,128374,40,4,25,24,4,1,0,0,5,2,15,1,0,49,49,2024-07-13 02:50:36
12722,2024,ESP.2,6832,128669,28,2,23,8,8,0,1,0,0,4,15,1,0,0,34,2025-03-15 04:45:03
