seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12694,2024,FRA.1,6997,10767,7,2,12,1,1,0,0,0,0,0,4,0,0,2,5,2025-03-17 04:41:16
12694,2024,FRA.1,3243,14775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-17 04:41:19
12694,2024,FRA.1,179,30302,19,4,16,16,1,0,0,2,2,0,3,0,0,2,11,2025-03-17 04:41:19
12694,2024,FRA.1,174,38721,22,4,37,28,6,1,0,6,2,6,23,2,0,4,20,2025-03-17 04:41:15
12694,2024,FRA.1,177,38721,31,5,44,45,3,0,0,4,3,6,27,1,0,3,42,2024-07-13 02:49:42
12694,2024,FRA.1,179,77072,23,1,20,11,2,0,0,0,0,2,7,1,0,16,20,2025-03-17 04:41:19
12694,2024,FRA.1,166,85400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-17 04:41:16
12694,2024,FRA.1,169,89018,17,0,0,1,0,0,0,0,0,0,0,0,141,29,21,2025-03-17 04:41:18
12694,2024,FRA.1,175,93641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-17 04:41:16
12694,2024,FRA.1,169,97867,17,4,22,15,4,0,0,1,1,3,14,0,0,1,12,2025-03-17 04:41:18
12694,2024,FRA.1,177,98965,26,1,23,4,2,0,0,0,1,4,10,2,0,20,45,2024-07-13 02:49:42
12694,2024,FRA.1,177,104028,34,0,1,8,3,0,0,0,2,0,0,0,430,131,57,2024-07-13 02:49:42
12694,2024,FRA.1,3236,104030,18,8,8,23,2,0,0,1,0,6,14,4,0,2,24,2025-03-17 04:41:16
12694,2024,FRA.1,3171,118091,28,0,29,29,7,0,0,0,4,5,11,0,0,10,40,2024-07-13 02:49:44
12694,2024,FRA.1,176,118279,20,17,7,16,2,0,0,2,0,11,28,2,0,1,10,2025-03-17 04:41:17
12694,2024,FRA.1,178,120496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-17 04:41:18
12694,2024,FRA.1,165,121406,3,2,0,0,0,0,0,1,0,0,2,0,0,2,0,2025-03-17 04:41:18
12694,2024,FRA.1,166,123683,23,0,33,36,10,0,0,1,4,5,16,0,0,6,27,2025-03-17 04:41:16
12694,2024,FRA.1,7868,127828,14,3,9,4,2,0,0,0,0,0,0,0,0,5,21,2025-03-17 04:41:15
12694,2024,FRA.1,2502,130165,20,2,16,13,5,0,0,0,3,1,7,0,0,11,17,2025-03-17 04:41:18
12694,2024,FRA.1,3236,131742,8,0,0,1,0,0,0,0,2,0,0,0,92,22,14,2025-03-17 04:41:16
12694,2024,FRA.1,165,131743,11,0,0,1,1,0,0,0,1,0,0,0,126,31,18,2025-03-17 04:41:18
12694,2024,FRA.1,167,131743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-02 05:40:50
12694,2024,FRA.1,3171,131748,21,4,30,16,5,0,0,0,1,3,14,1,0,3,28,2024-07-13 02:49:44
12694,2024,FRA.1,167,131752,22,5,33,22,3,0,0,2,3,24,38,9,0,2,16,2025-03-17 04:41:17
12694,2024,FRA.1,6997,132233,24,0,1,2,2,0,0,0,2,0,0,0,240,58,38,2025-03-17 04:41:16
12694,2024,FRA.1,274,132241,24,14,18,25,3,0,0,1,1,4,32,1,0,1,25,2025-03-17 04:41:17
12694,2024,FRA.1,167,133319,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,2025-01-18 05:36:53
12694,2024,FRA.1,3236,133319,9,4,13,6,0,0,0,1,1,0,4,0,0,4,7,2025-03-17 04:41:16
12694,2024,FRA.1,167,135743,21,2,10,6,0,0,0,1,3,1,1,0,0,8,23,2025-03-17 04:41:17
12694,2024,FRA.1,166,136688,21,10,16,18,1,0,0,2,5,6,25,0,0,1,11,2025-03-17 04:41:16
12694,2024,FRA.1,273,137397,18,5,16,11,5,0,1,0,1,4,9,0,0,12,16,2024-07-13 02:49:42
12694,2024,FRA.1,7868,137403,25,2,12,25,1,0,0,2,10,1,10,1,0,6,35,2025-03-17 04:41:15
12694,2024,FRA.1,274,137830,7,0,3,5,2,0,0,0,1,0,1,0,0,4,8,2025-03-17 04:41:17
12694,2024,FRA.1,3236,138564,22,3,15,23,2,0,0,0,6,2,8,0,0,2,39,2025-03-17 04:41:16
12694,2024,FRA.1,274,138571,6,0,10,7,1,0,0,0,1,3,12,0,0,1,12,2025-03-17 04:41:17
12694,2024,FRA.1,179,141188,19,4,23,18,2,0,0,2,3,14,34,4,0,3,11,2025-03-17 04:41:19
12694,2024,FRA.1,175,141438,6,0,0,1,0,0,0,0,0,0,0,0,60,18,7,2025-03-17 04:41:16
12694,2024,FRA.1,167,145190,16,0,23,17,6,0,0,1,2,7,19,3,0,6,20,2025-03-17 04:41:17
12694,2024,FRA.1,165,146205,20,3,19,9,7,0,1,1,0,2,4,0,0,14,30,2025-03-17 04:41:18
12694,2024,FRA.1,167,146324,4,3,2,2,0,0,0,0,0,1,1,0,0,0,1,2025-01-23 05:33:11
