seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12695,2024,FRA.2,171,4365,13,12,5,2,0,0,0,1,0,3,6,2,0,0,3,2025-03-17 04:42:35
12695,2024,FRA.2,173,30173,24,6,24,73,0,0,0,1,0,24,58,6,0,0,19,2025-03-17 04:42:34
12695,2024,FRA.2,7732,41549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-17 04:42:35
12695,2024,FRA.2,11312,45177,4,3,1,0,0,0,0,0,0,1,2,1,0,0,1,2025-03-17 04:42:36
12695,2024,FRA.2,7732,56820,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2025-03-17 04:42:35
12695,2024,FRA.2,3266,73342,21,5,32,18,4,0,0,1,0,11,27,5,0,0,14,2025-03-17 04:42:38
12695,2024,FRA.2,7721,73342,36,11,0,0,4,0,0,0,0,6,6,6,0,0,33,2024-07-13 02:55:01
12695,2024,FRA.2,7721,84624,10,7,0,0,1,0,0,0,0,0,0,0,0,0,2,2024-07-13 02:55:01
12695,2024,FRA.2,3266,84982,26,0,1,11,2,0,0,0,0,0,0,0,0,92,24,2025-03-17 04:42:38
12695,2024,FRA.2,2503,85080,15,10,11,11,5,0,0,1,0,0,0,0,0,0,10,2025-03-17 04:42:33
12695,2024,FRA.2,6851,86255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-17 04:42:37
12695,2024,FRA.2,173,88781,16,4,29,16,4,0,1,1,0,2,11,0,0,0,17,2025-03-17 04:42:34
12695,2024,FRA.2,3171,89015,21,0,12,13,1,0,0,1,0,1,7,1,0,0,24,2025-03-17 04:42:34
12695,2024,FRA.2,173,89090,27,0,0,4,3,0,0,0,0,0,0,0,0,57,27,2025-03-17 04:42:34
12695,2024,FRA.2,3335,91478,4,3,5,8,1,0,0,0,0,3,5,0,0,0,3,2024-10-11 05:01:02
12695,2024,FRA.2,11312,98409,12,1,0,1,1,0,0,0,0,0,0,0,0,37,25,2024-12-07 06:01:29
12695,2024,FRA.2,177,98965,15,0,9,3,1,0,0,1,0,4,7,2,0,0,13,2025-03-17 04:42:36
12695,2024,FRA.2,3335,101451,27,0,0,7,0,0,0,0,0,0,0,0,0,80,41,2025-03-17 04:42:38
12695,2024,FRA.2,3171,102397,18,0,8,17,0,0,0,1,0,6,18,2,0,0,18,2025-03-17 04:42:34
12695,2024,FRA.2,177,104028,16,1,0,5,0,0,1,0,0,0,0,0,0,46,13,2025-03-17 04:42:36
12695,2024,FRA.2,2503,105036,19,3,19,29,4,0,0,0,0,2,10,0,0,0,20,2025-03-17 04:42:33
