seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12821,2024,FRA.W.1,19256,158816,13,1,9,6,1,0,0,0,0,10,19,4,0,0,3,2025-03-17 04:41:55
12821,2024,FRA.W.1,21635,158818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-17 04:41:54
12821,2024,FRA.W.1,19256,158820,13,8,5,2,1,0,0,2,0,11,24,3,0,0,0,2025-03-17 04:41:55
12821,2024,FRA.W.1,21640,158829,17,1,14,4,1,0,0,5,0,15,27,4,0,0,5,2025-03-17 04:41:55
12821,2024,FRA.W.1,21637,176015,16,0,13,13,3,0,0,2,0,2,10,1,0,0,19,2025-03-17 04:41:54
12821,2024,FRA.W.1,19256,188014,2,0,0,1,0,0,0,0,0,0,0,0,0,2,1,2025-03-17 04:41:55
12821,2024,FRA.W.1,19256,188067,11,10,2,1,0,0,0,0,0,8,19,3,0,0,1,2025-03-17 04:41:55
12821,2024,FRA.W.1,21963,209173,12,3,11,15,1,0,0,1,0,7,18,1,0,0,28,2025-03-17 04:41:56
12821,2024,FRA.W.1,19256,209687,15,1,2,7,1,0,0,1,0,10,24,5,0,0,4,2025-03-17 04:41:55
12821,2024,FRA.W.1,21643,210367,9,3,6,7,0,0,0,0,0,2,5,0,0,0,14,2025-03-07 05:43:01
12821,2024,FRA.W.1,22328,211746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-07 05:41:46
12821,2024,FRA.W.1,21638,213939,16,0,8,4,0,0,1,0,0,0,4,0,0,0,28,2025-03-17 04:41:55
12821,2024,FRA.W.1,21638,213954,14,0,12,12,1,0,0,2,0,13,27,7,0,0,24,2025-03-17 04:41:55
12821,2024,FRA.W.1,19256,219116,12,7,0,6,0,0,0,1,0,6,19,5,0,0,1,2025-03-17 04:41:55
12821,2024,FRA.W.1,19256,219121,15,3,9,2,1,0,0,5,0,20,38,9,0,0,5,2025-03-17 04:41:55
12821,2024,FRA.W.1,19256,219775,17,6,5,3,2,0,0,6,0,4,13,0,0,0,4,2025-03-17 04:41:55
12821,2024,FRA.W.1,21637,219898,6,1,5,0,2,1,0,0,0,0,0,0,0,0,13,2025-01-21 05:30:40
12821,2024,FRA.W.1,19258,219934,6,3,2,0,0,0,0,0,0,1,5,0,0,0,3,2025-03-17 04:41:56
12821,2024,FRA.W.1,21637,219935,6,0,4,8,0,0,0,0,0,0,0,0,0,0,1,2025-03-17 04:41:54
12821,2024,FRA.W.1,19256,219938,13,6,10,7,1,0,0,1,0,12,24,4,0,0,2,2025-03-17 04:41:55
12821,2024,FRA.W.1,19256,219946,13,4,4,14,0,0,0,3,0,6,23,5,0,0,2,2025-03-17 04:41:55
12821,2024,FRA.W.1,22328,224883,16,6,4,9,0,0,0,0,0,6,12,1,0,0,7,2025-03-17 04:41:55
12821,2024,FRA.W.1,21638,225064,16,0,16,9,2,0,0,2,0,4,9,1,0,0,30,2025-03-17 04:41:55
12821,2024,FRA.W.1,21637,227378,17,4,17,17,1,0,0,1,0,18,32,9,0,0,10,2025-03-17 04:41:54
12821,2024,FRA.W.1,19258,227388,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2025-03-17 04:41:56
12821,2024,FRA.W.1,19256,228716,13,0,8,12,0,0,0,7,0,22,54,11,0,0,5,2025-03-17 04:41:55
12821,2024,FRA.W.1,21639,230966,14,2,3,4,1,0,1,1,0,1,2,0,0,0,13,2025-03-17 04:41:53
12821,2024,FRA.W.1,21638,234760,9,1,12,9,3,0,0,3,0,3,6,0,0,0,9,2025-03-17 04:41:55
12821,2024,FRA.W.1,19258,235658,15,3,7,5,1,0,0,1,0,1,8,0,0,0,8,2025-03-17 04:41:56
12821,2024,FRA.W.1,19256,236710,14,1,5,6,1,0,0,2,0,6,7,2,0,0,5,2025-03-17 04:41:55
12821,2024,FRA.W.1,19258,240297,13,0,19,37,2,0,0,2,0,11,23,4,0,0,7,2025-03-17 04:41:56
12821,2024,FRA.W.1,21643,242958,12,3,5,7,3,0,0,0,0,0,0,0,0,0,20,2025-03-17 04:41:56
12821,2024,FRA.W.1,21639,246852,14,6,14,12,2,0,0,0,0,11,20,3,0,0,17,2025-03-17 04:41:53
12821,2024,FRA.W.1,21643,248728,17,5,10,3,1,0,0,1,0,3,12,2,0,0,28,2025-03-17 04:41:56
12821,2024,FRA.W.1,19258,248768,15,0,0,4,0,0,0,0,0,0,0,0,0,33,10,2025-03-17 04:41:56
12821,2024,FRA.W.1,22329,248834,3,0,0,0,0,0,0,0,0,1,3,0,0,0,5,2025-03-17 04:41:57
12821,2024,FRA.W.1,19258,248835,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-14 06:58:01
12821,2024,FRA.W.1,21637,248835,7,3,2,0,1,0,0,0,0,0,1,0,0,0,4,2025-03-17 04:41:54
12821,2024,FRA.W.1,22329,249239,17,10,15,7,0,0,0,1,0,8,13,0,0,0,13,2025-03-17 04:41:57
12821,2024,FRA.W.1,21643,251504,6,6,2,0,0,0,0,0,0,0,0,0,0,0,2,2025-03-17 04:41:56
12821,2024,FRA.W.1,19258,252367,14,1,14,11,0,0,0,3,0,7,14,4,0,0,7,2025-03-17 04:41:56
12821,2024,FRA.W.1,21963,255415,16,4,5,9,0,0,0,0,0,5,8,1,0,0,37,2025-03-17 04:41:56
12821,2024,FRA.W.1,21639,255555,16,4,10,12,0,0,0,3,0,23,36,6,0,0,12,2025-03-17 04:41:53
12821,2024,FRA.W.1,22328,263901,14,2,10,3,3,0,0,0,0,2,6,1,0,0,12,2025-03-17 04:41:55
12821,2024,FRA.W.1,21637,264721,15,3,9,6,4,0,0,0,0,1,6,0,0,0,14,2025-03-17 04:41:54
12821,2024,FRA.W.1,21640,264722,15,1,11,7,2,0,0,2,0,6,12,1,0,0,8,2025-03-17 04:41:55
12821,2024,FRA.W.1,19256,264853,15,0,0,2,0,0,0,0,0,0,0,0,0,17,4,2025-03-17 04:41:55
12821,2024,FRA.W.1,19256,264964,11,5,3,4,0,0,0,0,0,4,8,1,0,0,0,2025-03-17 04:41:55
12821,2024,FRA.W.1,21643,267191,11,0,0,1,0,0,0,0,0,0,0,0,0,46,17,2025-03-17 04:41:56
12821,2024,FRA.W.1,21963,268334,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2025-03-17 04:41:56
12821,2024,FRA.W.1,21637,268335,17,1,7,12,0,0,0,5,0,16,30,3,0,0,17,2025-03-17 04:41:54
12821,2024,FRA.W.1,21640,270055,17,3,11,3,1,0,0,5,0,4,15,0,0,0,5,2025-03-17 04:41:55
12821,2024,FRA.W.1,21640,272495,14,0,1,5,1,0,0,0,0,0,0,0,0,37,6,2025-03-17 04:41:55
12821,2024,FRA.W.1,21963,278279,16,1,5,13,2,0,0,0,0,0,2,0,0,0,40,2025-03-17 04:41:56
12821,2024,FRA.W.1,21640,279182,15,0,11,10,1,0,0,5,0,26,48,15,0,0,7,2025-03-17 04:41:55
12821,2024,FRA.W.1,19258,282870,8,1,7,7,3,0,0,0,0,3,9,0,0,0,5,2025-03-17 04:41:56
12821,2024,FRA.W.1,19258,282876,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-17 04:41:56
12821,2024,FRA.W.1,21637,282878,17,0,7,28,0,0,0,4,0,14,43,4,0,0,18,2025-03-17 04:41:54
12821,2024,FRA.W.1,19258,283094,15,3,7,7,1,0,0,2,0,19,32,9,0,0,6,2025-03-17 04:41:56
12821,2024,FRA.W.1,22329,283723,15,0,18,6,4,0,0,0,0,1,3,0,0,0,27,2025-03-17 04:41:57
12821,2024,FRA.W.1,22328,284185,2,1,1,1,0,0,0,0,0,1,1,0,0,0,0,2025-03-17 04:41:55
12821,2024,FRA.W.1,19256,285186,13,2,10,3,2,0,0,5,0,2,8,0,0,0,4,2025-03-17 04:41:55
12821,2024,FRA.W.1,21635,287379,17,0,0,4,0,0,0,0,0,0,0,0,0,64,34,2025-03-17 04:41:54
12821,2024,FRA.W.1,21639,287923,16,10,11,4,0,0,0,0,0,10,14,4,0,0,10,2025-03-17 04:41:53
12821,2024,FRA.W.1,19256,288448,14,1,18,9,1,0,0,2,0,4,22,0,0,0,4,2025-03-17 04:41:55
12821,2024,FRA.W.1,21963,290257,15,4,16,5,4,0,0,2,0,6,24,1,0,0,24,2025-03-17 04:41:56
12821,2024,FRA.W.1,21643,292409,14,9,5,9,0,0,0,0,0,7,17,1,0,0,14,2025-03-17 04:41:56
12821,2024,FRA.W.1,19258,292902,11,4,8,5,1,0,0,3,0,9,13,4,0,0,2,2025-03-17 04:41:56
12821,2024,FRA.W.1,19258,293407,13,2,9,4,2,0,0,0,0,1,6,1,0,0,7,2025-03-17 04:41:56
12821,2024,FRA.W.1,21638,293408,15,2,7,13,2,0,0,2,0,7,16,3,0,0,20,2025-03-17 04:41:55
12821,2024,FRA.W.1,21638,293409,11,0,0,2,1,0,0,0,0,0,0,0,0,39,19,2025-03-17 04:41:55
12821,2024,FRA.W.1,21643,293927,6,1,0,0,0,0,0,0,0,0,0,0,0,19,14,2025-03-17 04:41:56
12821,2024,FRA.W.1,21635,295671,11,3,5,4,2,0,0,0,0,1,2,0,0,0,8,2025-03-17 04:41:54
12821,2024,FRA.W.1,21639,295672,11,0,0,2,0,0,0,0,0,0,0,0,0,30,16,2025-03-17 04:41:53
12821,2024,FRA.W.1,21636,295681,15,2,15,14,7,0,0,0,0,0,6,0,0,0,38,2025-03-17 04:41:54
12821,2024,FRA.W.1,22328,295682,11,7,6,6,0,0,0,0,0,2,6,1,0,0,4,2025-03-17 04:41:55
12821,2024,FRA.W.1,21639,296496,14,2,9,3,2,0,0,0,0,1,4,1,0,0,21,2025-03-17 04:41:53
12821,2024,FRA.W.1,22328,298899,17,1,10,9,2,0,0,2,0,7,22,2,0,0,16,2025-03-17 04:41:55
12821,2024,FRA.W.1,22328,302281,11,7,4,6,0,0,0,0,0,1,5,1,0,0,11,2025-03-17 04:41:55
12821,2024,FRA.W.1,21638,302284,14,5,18,7,4,1,0,1,0,4,15,2,0,0,17,2025-03-17 04:41:55
12821,2024,FRA.W.1,19256,306036,8,4,2,3,0,0,0,3,0,1,5,0,0,0,1,2025-03-17 04:41:55
12821,2024,FRA.W.1,21639,306042,6,0,0,0,0,0,0,0,0,0,0,0,0,20,8,2025-03-17 04:41:53
12821,2024,FRA.W.1,19258,306044,14,10,4,2,0,0,0,1,0,1,5,0,0,0,4,2025-03-17 04:41:56
12821,2024,FRA.W.1,19258,307790,12,4,4,0,0,0,0,0,0,0,2,0,0,0,6,2025-03-17 04:41:56
12821,2024,FRA.W.1,19258,309944,16,5,8,6,1,0,0,1,0,16,33,6,0,0,8,2025-03-17 04:41:56
12821,2024,FRA.W.1,19256,311191,11,6,5,6,0,0,0,4,0,6,16,2,0,0,0,2025-03-17 04:41:55
12821,2024,FRA.W.1,19256,311192,9,5,2,1,0,0,0,0,0,0,0,0,0,0,0,2025-03-17 04:41:55
12821,2024,FRA.W.1,19256,311202,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-17 04:41:55
12821,2024,FRA.W.1,21636,311210,14,0,9,12,5,0,1,1,0,0,2,0,0,0,50,2025-03-17 04:41:54
12821,2024,FRA.W.1,21643,311233,12,5,8,5,1,0,0,0,0,0,1,0,0,0,23,2025-03-17 04:41:56
12821,2024,FRA.W.1,19258,311234,15,1,8,22,3,0,0,3,0,1,8,0,0,0,8,2025-03-17 04:41:56
12821,2024,FRA.W.1,21640,312222,7,6,1,1,0,0,0,0,0,3,4,0,0,0,1,2025-03-17 04:41:55
12821,2024,FRA.W.1,19258,313019,9,8,2,1,0,0,0,1,0,0,2,0,0,0,2,2025-03-17 04:41:56
12821,2024,FRA.W.1,21643,313118,17,4,12,18,2,0,0,1,0,6,15,4,0,0,25,2025-03-17 04:41:56
12821,2024,FRA.W.1,21638,314328,14,3,8,5,3,0,0,0,0,1,6,1,0,0,22,2025-03-17 04:41:55
12821,2024,FRA.W.1,21637,314330,16,0,0,2,0,0,0,0,0,0,0,0,0,58,14,2025-03-17 04:41:54
12821,2024,FRA.W.1,21638,317639,15,0,6,11,2,0,0,2,0,2,8,1,0,0,27,2025-03-17 04:41:55
12821,2024,FRA.W.1,21639,317915,14,5,12,12,3,0,0,4,0,12,25,7,0,0,13,2025-03-17 04:41:53
12821,2024,FRA.W.1,21637,317918,3,2,1,0,0,0,0,0,0,0,0,0,0,0,4,2025-01-07 05:41:44
12821,2024,FRA.W.1,21637,318540,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2025-03-17 04:41:54
12821,2024,FRA.W.1,21640,320139,17,5,2,5,0,0,0,5,0,32,52,9,0,0,6,2025-03-17 04:41:55
