seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12749,2024,GER.2,9707,34107,23,6,23,19,4,0,0,2,0,4,17,1,0,0,26,2025-03-17 04:42:23
12749,2024,GER.2,133,40791,19,0,12,17,1,0,0,0,0,27,49,13,0,0,36,2025-03-17 04:42:27
12749,2024,GER.2,270,79941,34,0,0,3,1,0,0,0,3,0,0,0,280,78,36,2024-07-13 02:50:48
12749,2024,GER.2,133,85917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-17 04:42:27
12749,2024,GER.2,122,89497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-17 04:42:23
12749,2024,GER.2,7013,98132,29,6,14,33,5,0,0,2,1,5,26,1,0,11,45,2024-07-13 02:50:52
12749,2024,GER.2,270,115304,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2024-07-13 02:50:48
12749,2024,GER.2,9867,118466,22,13,9,15,5,0,0,3,0,10,18,0,0,0,14,2025-03-17 04:42:25
12749,2024,GER.2,2428,121007,26,0,0,3,2,0,0,0,0,0,0,0,0,84,26,2025-03-17 04:42:24
12749,2024,GER.2,9707,121011,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2025-03-17 04:42:23
12749,2024,GER.2,127,121013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-17 04:42:24
12749,2024,GER.2,11017,121545,3,2,1,1,1,0,0,0,0,0,0,0,0,0,6,2025-03-17 04:42:25
12749,2024,GER.2,3769,121547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 02:50:48
12749,2024,GER.2,7884,122289,31,6,39,43,8,1,0,7,8,12,50,5,0,2,22,2024-07-13 02:50:46
12749,2024,GER.2,269,122397,9,5,4,6,0,0,0,1,0,4,8,1,0,0,7,2025-01-23 05:35:32
12749,2024,GER.2,9867,122397,17,6,11,11,1,0,0,1,0,10,21,2,0,0,13,2025-03-17 04:42:25
12749,2024,GER.2,7013,122680,12,11,9,8,3,0,0,1,0,0,5,0,0,2,9,2024-07-13 02:50:52
12749,2024,GER.2,4471,123071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-17 04:42:25
12749,2024,GER.2,10388,123772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-17 04:42:26
12749,2024,GER.2,4471,132690,23,0,7,9,1,0,0,1,0,5,22,1,0,0,42,2025-03-17 04:42:25
12749,2024,GER.2,133,136593,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2024-08-22 04:57:41
12749,2024,GER.2,3067,136593,21,13,26,14,1,0,0,2,0,9,15,1,0,0,18,2025-03-17 04:42:27
12749,2024,GER.2,3307,137226,5,0,1,0,0,1,0,0,0,0,0,0,0,11,4,2025-03-17 04:42:25
12749,2024,GER.2,2428,137433,16,5,6,15,3,0,0,0,0,3,8,2,0,0,10,2025-03-17 04:42:24
12749,2024,GER.2,7013,138168,6,0,3,6,0,0,0,0,0,0,3,0,0,5,13,2024-07-13 02:50:52
12749,2024,GER.2,3307,140765,21,16,16,7,1,1,0,2,0,14,32,7,0,0,8,2025-03-17 04:42:25
12749,2024,GER.2,3812,141327,13,13,8,0,3,0,0,3,0,3,5,0,0,0,6,2025-03-17 04:42:26
12749,2024,GER.2,2428,141689,24,12,26,17,2,0,0,2,0,10,32,2,0,0,11,2025-03-17 04:42:24
12749,2024,GER.2,15710,144025,3,2,2,0,1,0,0,0,0,0,1,0,0,0,3,2025-03-17 04:42:26
12749,2024,GER.2,269,148944,2,2,0,1,0,0,0,1,0,0,0,0,0,0,1,2025-03-17 04:42:23
12749,2024,GER.2,122,149391,6,6,3,0,0,0,0,0,0,0,1,0,0,0,0,2025-03-17 04:42:23
12749,2024,GER.2,7884,149963,26,3,20,32,2,0,0,4,12,24,59,10,0,2,22,2024-07-13 02:50:46
12749,2024,GER.2,9707,150220,23,3,11,9,8,0,0,0,0,3,13,0,0,0,30,2025-03-17 04:42:23
12749,2024,GER.2,122,151464,19,9,12,9,2,0,1,2,0,5,14,2,0,0,8,2025-03-17 04:42:23
12749,2024,GER.2,7013,152620,19,0,0,4,2,0,0,1,4,0,0,0,253,71,32,2024-07-13 02:50:52
12749,2024,GER.2,2428,153001,23,16,9,3,1,0,0,1,0,8,25,2,0,0,7,2025-03-17 04:42:24
12749,2024,GER.2,15710,153272,7,4,2,3,0,0,0,0,0,0,0,0,0,0,4,2025-03-17 04:42:26
12749,2024,GER.2,3067,153319,25,0,16,20,4,0,0,0,0,5,13,2,0,0,41,2025-03-17 04:42:27
12749,2024,GER.2,3070,153489,20,3,16,29,5,0,0,4,0,13,45,1,0,0,17,2025-03-17 04:42:27
12749,2024,GER.2,9707,153489,14,3,12,19,4,0,0,0,0,10,32,1,0,0,7,2025-01-14 05:29:36
12749,2024,GER.2,270,153654,4,4,0,0,0,0,0,0,0,1,2,0,0,0,0,2024-07-13 02:50:48
12749,2024,GER.2,129,154087,19,5,13,4,4,0,0,1,0,2,7,0,0,0,23,2025-03-17 04:42:24
12749,2024,GER.2,133,154394,20,2,15,8,5,0,0,1,0,2,8,0,0,0,28,2025-03-17 04:42:27
12749,2024,GER.2,129,154407,13,3,15,12,2,0,0,1,0,0,5,0,0,0,16,2025-03-17 04:42:24
12749,2024,GER.2,269,157466,25,0,14,14,0,0,0,2,0,6,11,1,0,0,38,2025-03-17 04:42:23
12749,2024,GER.2,4471,158940,23,0,13,13,4,0,0,0,0,3,11,2,0,0,36,2025-03-17 04:42:25
12749,2024,GER.2,269,159115,23,5,16,10,2,0,0,0,0,2,14,2,0,0,29,2025-03-17 04:42:23
12749,2024,GER.2,2428,159337,21,1,21,30,5,0,0,0,0,1,11,0,0,0,20,2025-03-17 04:42:24
12749,2024,GER.2,130,160023,4,2,1,1,0,0,0,1,0,2,7,1,0,0,3,2025-03-17 04:42:24
12749,2024,GER.2,129,162096,22,11,10,19,3,0,0,0,0,14,24,5,0,0,16,2025-03-17 04:42:24
12749,2024,GER.2,128,162111,33,0,0,2,3,1,0,0,6,0,2,0,445,116,52,2024-07-13 02:50:50
12749,2024,GER.2,3812,164830,13,11,4,4,1,0,0,0,0,0,4,0,0,0,8,2025-03-17 04:42:26
12749,2024,GER.2,133,164919,19,8,1,9,1,0,0,1,0,2,5,1,0,0,21,2025-03-17 04:42:27
12749,2024,GER.2,133,165764,3,0,0,1,0,0,0,0,0,0,0,0,0,11,3,2025-03-17 04:42:27
12749,2024,GER.2,122,167683,22,6,24,7,6,0,0,2,0,2,10,0,0,0,17,2025-03-17 04:42:23
12749,2024,GER.2,128,169109,11,4,9,8,4,0,0,1,4,1,3,0,0,4,11,2024-07-13 02:50:50
12749,2024,GER.2,3307,169367,4,4,1,0,1,0,0,0,0,0,0,0,0,0,1,2025-03-11 04:43:23
12749,2024,GER.2,7884,169481,28,2,10,21,3,0,0,3,1,14,27,7,0,15,27,2024-07-13 02:50:46
12749,2024,GER.2,133,172295,18,7,14,27,2,0,0,1,0,5,19,1,0,0,21,2025-03-17 04:42:27
12749,2024,GER.2,3769,173193,34,0,1,3,2,0,0,0,3,0,0,0,453,116,50,2024-07-13 02:50:48
12749,2024,GER.2,3812,173611,23,2,9,8,3,0,0,3,0,6,9,3,0,0,30,2025-03-17 04:42:26
12749,2024,GER.2,270,173741,7,7,2,2,0,0,0,0,0,0,2,0,0,0,2,2024-07-13 02:50:48
12749,2024,GER.2,7884,173803,6,6,2,0,0,0,0,0,0,0,0,0,0,1,2,2024-07-13 02:50:46
12749,2024,GER.2,9867,173803,23,0,29,24,6,0,0,1,0,1,4,0,0,0,31,2025-03-17 04:42:25
12749,2024,GER.2,9867,174444,12,5,5,7,1,0,0,0,0,2,6,2,0,0,5,2025-03-17 04:42:25
12749,2024,GER.2,3070,174506,25,0,30,64,4,0,0,3,0,11,39,6,0,0,45,2025-03-17 04:42:27
12749,2024,GER.2,3812,174525,26,0,0,2,1,0,0,0,0,0,0,0,0,85,43,2025-03-17 04:42:26
12749,2024,GER.2,10382,174546,10,3,13,3,2,0,0,0,0,0,1,0,0,0,13,2025-03-17 04:42:22
12749,2024,GER.2,129,175887,3,0,2,1,1,0,0,0,0,0,3,0,0,0,1,2024-08-29 05:01:27
12749,2024,GER.2,3070,176972,20,9,14,14,4,0,0,0,0,2,17,1,0,0,21,2025-03-17 04:42:27
12749,2024,GER.2,10382,177822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-02 14:49:05
12749,2024,GER.2,15710,177822,3,3,1,2,0,0,0,0,0,0,0,0,0,0,4,2025-03-17 04:42:26
12749,2024,GER.2,270,178071,27,1,23,14,8,0,0,9,7,20,55,6,0,11,30,2024-07-13 02:50:48
12749,2024,GER.2,9707,178879,11,3,4,5,0,0,0,1,0,1,4,0,0,0,9,2025-03-17 04:42:23
12749,2024,GER.2,3769,178977,24,2,25,18,7,1,0,0,3,0,10,0,0,15,33,2024-07-13 02:50:48
12749,2024,GER.2,3812,180044,6,3,8,5,2,1,0,1,0,0,7,0,0,0,4,2025-03-17 04:42:26
12749,2024,GER.2,11017,180143,4,4,1,3,0,0,0,0,0,0,1,0,0,0,2,2025-03-17 04:42:25
12749,2024,GER.2,127,180162,24,0,0,4,0,0,0,0,0,0,0,0,0,59,28,2025-03-17 04:42:24
12749,2024,GER.2,10388,180818,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,2025-03-17 04:42:26
12749,2024,GER.2,127,180819,22,0,21,12,1,1,0,2,0,0,7,0,0,0,24,2025-03-17 04:42:24
12749,2024,GER.2,2428,181287,24,0,20,14,3,0,0,2,0,6,19,3,0,0,24,2025-03-17 04:42:24
12749,2024,GER.2,122,182427,6,6,4,3,0,0,0,0,0,0,2,0,0,0,4,2025-01-03 05:42:01
12749,2024,GER.2,11017,182427,15,6,20,12,2,0,0,0,0,6,18,2,0,0,17,2025-03-17 04:42:25
12749,2024,GER.2,130,184551,7,0,5,14,2,0,0,1,0,1,4,0,0,0,10,2025-03-17 04:42:24
12749,2024,GER.2,7884,184582,1,0,0,0,0,0,0,0,0,0,0,0,21,5,1,2024-07-13 02:50:46
12749,2024,GER.2,129,184765,5,0,0,0,0,0,0,0,0,0,0,0,0,13,9,2025-03-17 04:42:24
12749,2024,GER.2,11017,184794,3,0,0,2,0,0,0,0,0,0,0,0,0,18,4,2025-03-17 04:42:25
12749,2024,GER.2,11017,184847,21,0,23,13,7,0,0,0,0,1,12,0,0,0,33,2025-03-17 04:42:25
12749,2024,GER.2,11017,184851,4,0,9,1,1,0,0,0,0,0,2,0,0,0,6,2025-03-17 04:42:25
12749,2024,GER.2,129,184869,2,0,3,1,0,0,0,0,0,1,3,0,0,0,3,2024-08-24 04:56:10
12749,2024,GER.2,7013,185801,23,16,16,17,3,0,0,1,1,4,28,1,0,1,18,2024-07-13 02:50:52
12749,2024,GER.2,127,186148,18,2,16,10,4,2,0,0,0,2,8,0,0,0,19,2025-03-17 04:42:24
12749,2024,GER.2,133,186261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-17 04:42:27
12749,2024,GER.2,269,186390,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2025-03-17 04:42:23
12749,2024,GER.2,129,187897,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-17 04:42:24
12749,2024,GER.2,130,188031,19,8,12,9,2,1,0,0,0,1,6,0,0,0,15,2025-03-17 04:42:24
12749,2024,GER.2,11017,188054,9,2,10,8,3,0,0,0,0,1,6,0,0,0,22,2025-03-17 04:42:25
12749,2024,GER.2,133,188057,23,0,18,35,5,0,0,2,0,27,74,12,0,0,40,2025-03-17 04:42:27
12749,2024,GER.2,127,188058,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-03-17 04:42:24
12749,2024,GER.2,9867,188338,24,0,26,22,5,0,0,1,0,2,12,1,0,0,28,2025-03-17 04:42:25
12749,2024,GER.2,9707,188414,19,16,10,3,0,0,0,1,0,2,14,1,0,0,11,2025-03-17 04:42:23
12749,2024,GER.2,130,189528,11,2,4,5,0,0,0,2,0,0,2,0,0,0,13,2025-03-17 04:42:24
12749,2024,GER.2,269,189538,19,3,17,16,4,0,0,2,0,1,11,1,0,0,29,2025-03-17 04:42:23
12749,2024,GER.2,3067,189552,22,4,26,19,9,0,0,1,0,6,19,1,0,0,35,2025-03-17 04:42:27
12749,2024,GER.2,4471,190060,25,1,29,26,4,0,0,1,0,17,41,6,0,0,44,2025-03-17 04:42:25
12749,2024,GER.2,10388,190167,20,1,13,12,5,0,0,0,0,0,2,0,0,0,25,2025-03-17 04:42:26
12749,2024,GER.2,15710,190758,16,5,16,7,5,0,0,0,0,2,7,0,0,0,11,2025-01-22 05:36:01
12749,2024,GER.2,3070,191018,21,0,12,35,3,0,0,3,0,18,52,7,0,0,34,2025-03-17 04:42:27
12749,2024,GER.2,122,191352,22,11,20,9,4,0,0,0,0,15,51,5,0,0,20,2025-03-17 04:42:23
12749,2024,GER.2,7013,192508,19,1,11,7,3,0,0,1,2,4,12,1,0,9,22,2024-07-13 02:50:52
12749,2024,GER.2,7884,193351,12,5,9,3,2,1,0,0,2,0,5,0,0,13,6,2024-07-13 02:50:46
12749,2024,GER.2,3769,193838,32,11,18,7,3,0,0,0,7,0,6,0,0,10,32,2024-07-13 02:50:48
12749,2024,GER.2,9707,195028,4,3,2,0,0,0,0,0,0,0,2,0,0,0,0,2025-01-02 05:41:22
12749,2024,GER.2,3067,195261,3,0,1,3,1,0,0,0,0,0,1,0,0,0,1,2025-03-17 04:42:27
12749,2024,GER.2,3769,195300,22,13,16,10,3,0,0,0,3,6,20,1,0,0,13,2024-07-13 02:50:48
12749,2024,GER.2,127,196032,24,7,39,17,5,0,0,0,0,33,66,17,0,0,21,2025-03-17 04:42:24
12749,2024,GER.2,270,196297,32,0,16,13,1,1,0,0,3,2,5,0,0,11,36,2024-07-13 02:50:48
12749,2024,GER.2,3307,197796,20,7,28,7,5,0,0,1,0,8,35,3,0,0,15,2025-03-17 04:42:25
12749,2024,GER.2,7884,198171,3,0,0,0,0,0,0,0,1,0,0,0,38,7,5,2024-07-13 02:50:46
12749,2024,GER.2,7884,198905,14,12,13,5,1,0,0,0,0,6,15,1,0,1,5,2024-07-13 02:50:46
12749,2024,GER.2,9867,198905,18,13,23,6,4,0,0,1,0,9,23,3,0,0,8,2025-03-17 04:42:25
12749,2024,GER.2,9707,199869,10,1,15,4,4,0,0,2,0,1,6,0,0,0,10,2025-03-17 04:42:23
12749,2024,GER.2,133,199922,19,2,15,7,5,0,0,4,0,3,20,1,0,0,25,2025-03-17 04:42:27
12749,2024,GER.2,270,202696,31,0,24,29,6,1,0,2,9,8,30,2,0,8,32,2024-07-13 02:50:48
12749,2024,GER.2,7013,204010,22,1,11,9,6,1,0,1,2,4,16,0,0,5,41,2024-07-13 02:50:52
