seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12814,2024,GRE.1,11431,44776,23,1,25,33,7,1,0,1,0,6,16,2,0,0,15,2025-03-14 04:50:33
12814,2024,GRE.1,22325,49909,20,0,0,3,1,0,1,0,0,0,0,0,0,67,26,2025-03-14 04:50:30
12814,2024,GRE.1,22325,86265,24,8,18,24,1,0,0,4,0,8,21,3,0,0,23,2025-03-14 04:50:30
12814,2024,GRE.1,605,86532,8,6,5,4,2,0,0,2,0,1,2,0,0,0,2,2025-03-14 04:50:32
12814,2024,GRE.1,11431,93381,16,7,9,20,4,0,0,0,0,7,19,2,0,0,5,2025-03-14 04:50:33
12814,2024,GRE.1,605,107000,24,10,38,17,7,0,0,1,0,10,26,7,0,0,19,2025-03-14 04:50:32
12814,2024,GRE.1,605,117239,20,5,21,14,3,0,0,1,0,5,16,1,0,0,15,2025-03-14 04:50:32
12814,2024,GRE.1,22325,122667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-14 04:50:30
12814,2024,GRE.1,605,123560,7,0,8,2,2,0,0,0,0,1,6,0,0,0,9,2025-03-14 04:50:32
12814,2024,GRE.1,8354,123651,19,3,28,21,4,0,0,3,0,13,30,6,0,0,17,2025-03-14 04:50:30
12814,2024,GRE.1,6790,129806,21,13,10,12,1,0,0,1,0,5,13,2,0,0,12,2025-03-14 04:50:31
12814,2024,GRE.1,887,130870,18,9,23,9,7,1,0,3,0,11,30,3,0,0,7,2025-03-14 04:50:29
12814,2024,GRE.1,11553,131983,18,3,14,5,3,1,0,0,0,2,7,0,0,0,17,2025-03-14 04:50:30
12814,2024,GRE.1,435,133852,5,3,2,1,0,0,0,0,0,5,10,0,0,0,0,2025-03-14 04:50:32
12814,2024,GRE.1,22325,133967,23,7,20,25,7,0,0,2,0,5,17,1,0,0,28,2025-03-14 04:50:30
12814,2024,GRE.1,5276,135241,11,2,11,4,3,1,1,0,0,3,3,1,0,0,7,2025-03-14 04:50:31
12814,2024,GRE.1,443,137076,24,6,28,40,8,0,0,1,0,15,42,6,0,0,11,2025-03-14 04:50:33
12814,2024,GRE.1,5276,137344,10,3,16,10,2,0,0,1,0,0,0,0,0,0,4,2025-03-14 04:50:31
12814,2024,GRE.1,11553,137425,18,4,31,12,5,1,0,2,0,1,4,0,0,0,18,2025-03-14 04:50:30
12814,2024,GRE.1,605,138802,5,3,3,0,0,0,0,0,0,0,0,0,0,0,1,2025-03-14 04:50:32
12814,2024,GRE.1,22325,138921,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-03-14 04:50:30
12814,2024,GRE.1,11431,139465,15,3,10,7,3,0,0,0,0,0,2,0,0,0,8,2025-03-14 04:50:33
12814,2024,GRE.1,22325,140171,8,4,8,11,2,0,0,0,0,0,5,0,0,0,8,2025-03-14 04:50:30
12814,2024,GRE.1,11553,140271,16,1,26,9,5,0,0,1,0,3,5,1,0,0,14,2025-03-14 04:50:30
12814,2024,GRE.1,18814,140886,10,0,4,1,0,1,0,0,0,0,4,0,0,0,10,2025-03-14 04:50:31
12814,2024,GRE.1,22325,140888,19,8,14,25,2,0,0,0,0,9,24,4,0,0,17,2025-03-14 04:50:30
12814,2024,GRE.1,443,142291,11,0,13,19,2,0,0,0,0,0,4,0,0,0,13,2025-03-14 04:50:33
12814,2024,GRE.1,11553,142333,17,12,7,11,1,0,0,1,0,3,11,0,0,0,5,2025-03-14 04:50:30
12814,2024,GRE.1,887,142738,21,8,19,19,4,0,0,0,0,1,7,0,0,0,11,2025-03-14 04:50:29
12814,2024,GRE.1,435,143223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-14 04:50:32
12814,2024,GRE.1,21970,143791,19,2,14,10,4,0,1,1,0,2,4,1,0,0,31,2025-03-14 04:50:33
12814,2024,GRE.1,887,144989,7,2,4,2,0,0,0,0,0,1,3,0,0,0,5,2025-03-14 04:50:29
12814,2024,GRE.1,11553,146614,7,5,5,4,1,1,0,0,0,0,1,0,0,0,4,2025-03-14 04:50:30
12814,2024,GRE.1,11553,146642,17,2,23,15,6,0,0,0,0,0,2,0,0,0,15,2025-03-14 04:50:30
12814,2024,GRE.1,22325,147064,19,1,23,8,5,0,0,0,0,6,7,2,0,0,30,2025-03-14 04:50:30
12814,2024,GRE.1,887,148110,21,0,19,12,1,0,0,2,0,4,15,0,0,0,13,2025-03-14 04:50:29
12814,2024,GRE.1,8354,152192,21,3,27,6,3,1,0,1,0,2,6,1,0,0,24,2025-03-14 04:50:30
12814,2024,GRE.1,11431,152193,24,1,14,38,2,0,0,2,0,1,12,0,0,0,20,2025-03-14 04:50:33
