seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12826,2024,KSA.1,817,22774,24,0,9,20,2,0,0,3,0,54,111,19,0,0,21,2025-03-17 04:41:42
12826,2024,KSA.1,21966,41549,14,3,22,10,5,1,0,1,0,7,26,3,0,0,16,2025-03-17 04:41:42
12826,2024,KSA.1,2276,46858,22,0,8,13,1,0,0,8,0,41,82,16,0,0,24,2025-03-17 04:41:41
12826,2024,KSA.1,2276,76717,18,1,5,7,3,0,0,0,0,0,7,0,0,0,20,2025-03-17 04:41:41
12826,2024,KSA.1,21834,87043,4,0,0,0,1,0,0,0,0,0,0,0,0,14,8,2025-03-17 04:41:43
12826,2024,KSA.1,8363,98342,25,1,11,23,0,0,0,3,0,21,38,10,0,0,35,2025-03-17 04:41:39
12826,2024,KSA.1,793,113667,22,0,20,37,4,0,0,2,0,9,35,1,0,0,23,2025-03-17 04:41:43
12826,2024,KSA.1,22022,122260,23,0,16,19,1,1,0,2,0,36,74,11,0,0,20,2025-03-17 04:41:42
12826,2024,KSA.1,21827,123605,22,0,17,5,3,1,1,0,0,4,9,1,0,0,25,2025-03-17 04:41:40
12826,2024,KSA.1,13033,123988,8,0,10,0,4,0,1,0,0,0,2,0,0,0,10,2025-03-17 04:41:39
12826,2024,KSA.1,21835,129195,24,2,14,34,1,0,0,1,0,16,37,5,0,0,39,2025-03-17 04:41:44
12826,2024,KSA.1,22029,132709,19,4,7,6,1,0,0,2,0,13,36,5,0,0,25,2025-03-17 04:41:42
12826,2024,KSA.1,21834,133818,12,5,4,4,2,0,0,0,0,1,2,1,0,0,16,2025-03-17 04:41:43
12826,2024,KSA.1,22029,134205,20,0,20,15,7,0,0,4,0,9,21,3,0,0,28,2025-03-17 04:41:42
12826,2024,KSA.1,21966,138157,21,8,28,9,2,0,0,1,0,7,37,5,0,0,22,2025-03-17 04:41:42
12826,2024,KSA.1,22022,140079,25,0,0,3,1,0,0,0,0,0,0,0,0,67,21,2025-03-17 04:41:42
12826,2024,KSA.1,8346,147234,17,4,18,10,0,0,0,3,0,18,36,5,0,0,8,2025-03-17 04:41:38
12826,2024,KSA.1,21829,148180,24,0,0,3,1,0,0,0,0,0,0,0,0,70,33,2025-03-17 04:41:41
12826,2024,KSA.1,22022,148189,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-09-03 05:02:55
12826,2024,KSA.1,793,149938,25,0,10,11,0,0,0,8,0,22,56,7,0,0,29,2025-03-17 04:41:43
12826,2024,KSA.1,929,150312,22,0,21,5,1,1,0,0,0,3,11,2,0,0,23,2025-03-17 04:41:40
12826,2024,KSA.1,21965,157292,25,0,1,5,2,0,0,0,0,0,0,0,0,89,35,2025-03-17 04:41:43
12826,2024,KSA.1,22022,157710,25,0,10,13,3,0,1,0,0,6,16,0,0,0,21,2025-03-17 04:41:42
12826,2024,KSA.1,21827,158604,21,4,15,22,2,0,0,2,0,8,17,4,0,0,20,2025-03-17 04:41:40
12826,2024,KSA.1,817,159317,16,0,2,6,2,0,0,0,0,7,15,3,0,0,15,2025-03-17 04:41:42
12826,2024,KSA.1,22029,159319,12,3,5,0,1,0,0,0,0,0,3,0,0,0,20,2025-03-17 04:41:42
12826,2024,KSA.1,21829,160020,22,1,13,42,2,0,0,4,0,26,58,4,0,0,30,2025-03-17 04:41:41
12826,2024,KSA.1,21834,160114,22,1,45,28,7,0,0,0,0,3,16,1,0,0,36,2025-03-17 04:41:43
12826,2024,KSA.1,18459,163121,22,3,23,27,3,0,0,5,0,0,5,0,0,0,16,2025-03-17 04:41:44
12826,2024,KSA.1,21965,163213,22,5,30,15,2,1,0,1,0,14,30,4,0,0,27,2025-03-17 04:41:43
12826,2024,KSA.1,929,163850,24,0,15,33,2,0,0,11,0,25,63,7,0,0,25,2025-03-17 04:41:40
12826,2024,KSA.1,21835,163852,20,4,9,7,1,0,0,0,0,0,7,0,0,0,40,2025-03-17 04:41:44
