seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12632,2024,MEX.1,219,3313,3,2,0,2,0,0,0,0,0,1,1,1,0,0,1,2025-03-17 04:41:04
12632,2024,MEX.1,234,12425,6,3,1,5,0,0,0,0,0,2,4,1,0,0,5,2025-03-17 04:41:06
12632,2024,MEX.1,225,21738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-18 05:37:30
12632,2024,MEX.1,220,23761,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-03-17 04:41:05
12632,2024,MEX.1,15720,26703,2,2,0,2,0,0,0,0,0,0,1,0,0,0,1,2025-02-07 05:38:02
12632,2024,MEX.1,219,37249,10,0,11,3,2,1,0,1,0,0,5,0,0,3,10,2025-03-17 04:41:04
12632,2024,MEX.1,220,41579,3,0,3,0,0,0,0,0,0,2,10,2,0,2,3,2025-03-17 04:41:05
12632,2024,MEX.1,222,42182,1,0,1,0,1,0,0,0,0,0,2,0,0,0,0,2025-03-17 04:41:07
12632,2024,MEX.1,234,44473,2,1,2,1,0,0,0,0,0,0,3,0,0,0,1,2025-03-17 04:41:06
12632,2024,MEX.1,218,47905,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-17 04:41:04
12632,2024,MEX.1,20702,48484,7,2,3,6,1,0,0,2,1,3,12,1,0,2,6,2025-03-17 04:41:05
12632,2024,MEX.1,232,49306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-17 04:41:08
12632,2024,MEX.1,17851,66955,11,2,5,8,2,0,0,0,0,0,1,0,0,2,10,2025-03-17 04:41:04
12632,2024,MEX.1,232,68340,12,0,0,3,2,1,0,0,0,0,0,0,140,35,9,2025-03-17 04:41:08
12632,2024,MEX.1,228,70610,4,4,1,1,0,0,0,0,0,0,1,0,0,0,3,2025-03-17 04:41:05
12632,2024,MEX.1,227,70983,7,6,1,5,0,0,0,1,3,0,5,0,0,0,2,2025-03-17 04:41:03
