seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12673,2024,NED.1,5291,4804,18,5,10,5,0,0,1,0,0,1,6,0,0,4,26,2025-03-17 04:41:28
12673,2024,NED.1,2727,67334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 02:53:19
12673,2024,NED.1,151,69579,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,2025-03-17 04:41:32
12673,2024,NED.1,139,78836,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2024-08-31 04:53:11
12673,2024,NED.1,153,83494,15,7,8,22,3,0,0,2,0,8,27,2,0,0,10,2025-03-17 04:41:28
12673,2024,NED.1,139,83802,21,0,0,2,0,0,1,1,2,1,1,0,208,58,17,2025-03-17 04:41:27
12673,2024,NED.1,2727,84843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 02:53:19
12673,2024,NED.1,148,103485,20,6,10,6,3,0,0,6,1,7,22,2,0,2,22,2025-03-17 04:41:31
12673,2024,NED.1,155,105351,14,12,5,3,3,1,0,0,0,1,7,0,0,0,6,2025-03-17 04:41:32
12673,2024,NED.1,2727,121850,23,0,11,15,3,0,0,2,6,0,8,0,0,13,54,2024-07-13 02:53:19
12673,2024,NED.1,156,122636,23,15,40,15,5,1,0,0,0,8,23,2,0,1,17,2025-03-17 04:41:32
12673,2024,NED.1,147,122954,8,3,8,3,2,0,0,0,1,4,13,1,0,1,7,2025-03-17 04:41:31
12673,2024,NED.1,152,124932,19,9,26,13,3,0,0,0,2,15,25,5,0,3,16,2025-03-17 04:41:28
12673,2024,NED.1,152,125136,2,0,0,0,0,0,0,0,0,0,0,0,23,8,8,2025-03-17 04:41:28
12673,2024,NED.1,147,125165,15,13,4,3,1,1,0,0,0,1,2,0,0,3,6,2025-03-17 04:41:31
12673,2024,NED.1,155,125279,13,5,5,8,1,1,0,0,1,0,2,0,0,4,22,2025-03-17 04:41:32
12673,2024,NED.1,3708,126248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-17 04:41:30
12673,2024,NED.1,2565,127053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-17 04:41:31
12673,2024,NED.1,139,127262,21,7,7,5,4,0,0,4,8,1,7,0,0,6,10,2025-03-17 04:41:27
12673,2024,NED.1,148,127420,23,2,8,13,3,0,0,6,0,18,66,12,0,2,23,2025-03-17 04:41:31
12673,2024,NED.1,154,127444,34,0,1,2,1,0,0,0,4,0,0,0,449,151,73,2024-07-13 02:53:13
12673,2024,NED.1,142,129285,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2024-08-29 04:53:50
12673,2024,NED.1,140,130177,5,0,0,0,0,0,0,0,0,0,0,0,38,10,2,2025-03-17 04:41:27
12673,2024,NED.1,153,131354,25,0,12,8,1,1,0,1,1,7,13,3,0,25,37,2025-03-17 04:41:28
12673,2024,NED.1,143,132666,22,1,12,9,3,0,0,2,1,0,3,0,0,6,29,2025-03-17 04:41:29
12673,2024,NED.1,2565,134515,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-08-24 04:48:32
12673,2024,NED.1,154,137087,2,1,2,0,0,0,0,0,0,0,0,0,0,2,1,2024-07-13 02:53:13
12673,2024,NED.1,141,137780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-17 04:41:30
12673,2024,NED.1,145,138664,23,4,16,8,6,0,1,2,2,7,24,2,0,8,27,2025-03-17 04:41:28
12673,2024,NED.1,151,138746,14,0,12,2,3,0,0,0,1,0,10,0,0,3,15,2025-03-17 04:41:32
12673,2024,NED.1,155,139579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-17 04:41:32
