seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12678,2024,NED.2,4426,13268,6,6,3,4,1,0,0,0,0,1,3,0,0,0,0,2025-03-17 04:43:26
12678,2024,NED.2,3730,26792,15,6,6,2,0,0,0,0,0,0,6,0,0,0,21,2025-03-17 04:43:28
12678,2024,NED.2,2727,77226,7,5,0,3,0,0,0,0,0,1,1,0,0,0,3,2025-03-17 04:43:26
12678,2024,NED.2,3735,79505,31,0,0,5,2,0,0,0,0,0,0,0,0,83,40,2025-03-17 04:43:30
12678,2024,NED.2,18278,83494,2,0,5,4,0,0,0,0,0,4,7,0,0,0,4,2025-03-17 04:43:28
12678,2024,NED.2,156,122636,32,27,29,15,5,0,0,2,1,19,45,11,0,4,7,2024-07-13 02:51:38
12678,2024,NED.2,141,124245,32,0,18,8,4,0,0,0,1,1,6,1,0,19,44,2024-07-13 02:51:21
12678,2024,NED.2,154,124933,25,0,34,69,4,1,0,3,0,16,40,8,0,0,49,2025-03-17 04:43:30
12678,2024,NED.2,144,129801,28,13,25,32,4,0,0,2,0,5,23,5,0,0,27,2025-03-17 04:43:25
12678,2024,NED.2,3775,130093,3,0,0,0,1,0,0,0,0,0,0,0,0,11,7,2025-03-17 04:43:27
12678,2024,NED.2,271,130516,20,8,18,6,4,0,0,2,0,2,7,1,0,0,17,2025-03-17 04:43:25
12678,2024,NED.2,149,130878,10,10,4,2,2,0,0,0,0,0,1,0,0,0,1,2024-06-20 02:48:52
12678,2024,NED.2,144,132001,26,1,10,13,4,0,0,7,0,6,22,2,0,0,33,2025-03-17 04:43:25
12678,2024,NED.2,156,136446,22,6,15,10,4,0,1,2,2,6,15,2,0,6,22,2024-07-13 02:51:38
12678,2024,NED.2,2726,137782,6,1,0,1,1,0,0,0,0,0,0,0,0,14,11,2025-03-17 04:43:24
