seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12827,2024,NED.W.1,20796,95226,16,0,6,10,1,0,0,3,7,8,24,2,0,4,11,2025-03-17 04:47:05
12827,2024,NED.W.1,20984,209166,17,0,8,14,0,0,0,3,1,2,9,1,0,1,23,2025-03-17 04:47:06
12827,2024,NED.W.1,21977,219955,16,0,17,12,1,0,0,4,14,26,63,7,0,0,24,2025-03-17 04:47:04
12827,2024,NED.W.1,20796,235656,7,5,0,3,0,0,0,1,2,4,8,0,0,0,3,2025-03-17 04:47:05
12827,2024,NED.W.1,20802,235660,2,1,2,0,0,0,0,0,1,0,3,0,0,0,0,2025-03-17 04:47:07
12827,2024,NED.W.1,20797,242307,18,4,3,14,0,0,0,2,11,22,47,3,0,0,28,2025-03-17 04:47:07
12827,2024,NED.W.1,20802,246055,9,9,1,1,0,0,0,1,0,0,3,0,0,0,1,2025-03-17 04:47:07
12827,2024,NED.W.1,20802,250645,13,0,4,10,0,0,0,2,1,6,15,3,0,4,4,2025-03-17 04:47:07
12827,2024,NED.W.1,20802,252364,17,0,5,8,0,0,0,8,4,28,48,9,0,0,7,2025-03-17 04:47:07
12827,2024,NED.W.1,21978,257445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-17 04:47:06
12827,2024,NED.W.1,20798,257446,17,0,0,1,0,0,0,0,1,0,0,0,85,59,39,2025-03-17 04:47:04
12827,2024,NED.W.1,20802,257550,17,0,0,5,0,0,1,0,0,1,1,0,56,34,7,2025-03-17 04:47:07
12827,2024,NED.W.1,20114,257565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-17 04:47:05
12827,2024,NED.W.1,21978,264732,16,0,12,8,0,0,0,1,2,2,5,0,0,0,17,2025-03-17 04:47:06
12827,2024,NED.W.1,20984,270057,16,0,11,13,4,0,0,0,13,19,31,10,0,0,23,2025-03-17 04:47:06
12827,2024,NED.W.1,20798,285104,16,0,15,5,3,0,1,2,4,9,18,1,0,0,27,2025-03-17 04:47:04
12827,2024,NED.W.1,20984,287380,17,0,33,16,5,0,0,2,7,26,55,14,0,0,22,2025-03-17 04:47:06
12827,2024,NED.W.1,20114,288976,7,0,2,1,0,0,0,0,1,0,0,0,44,28,8,2025-01-26 05:38:58
