seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12565,2024,ROU.1,18320,74522,26,12,19,23,3,1,0,2,0,11,34,2,0,0,23,2025-03-11 04:44:07
12565,2024,ROU.1,22314,74522,20,11,14,15,3,0,0,2,0,5,20,0,0,0,16,2025-01-18 05:35:04
12565,2024,ROU.1,18773,79772,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2025-03-11 04:44:08
12565,2024,ROU.1,20985,80448,20,13,0,0,3,0,0,0,0,0,0,0,0,0,12,2024-07-13 02:55:15
12565,2024,ROU.1,6731,83135,10,4,9,5,2,0,0,0,0,0,2,0,0,0,9,2025-03-10 04:44:31
12565,2024,ROU.1,545,87828,8,1,8,2,4,0,0,0,0,0,4,0,0,0,6,2025-03-11 04:44:07
12565,2024,ROU.1,18332,111956,37,3,0,0,1,1,0,0,0,9,11,9,0,0,51,2024-07-13 02:55:13
12565,2024,ROU.1,5260,119377,15,3,20,20,0,0,0,2,0,2,9,2,0,0,8,2025-03-11 04:44:04
12565,2024,ROU.1,18332,119497,30,0,0,0,1,1,1,0,0,3,3,2,0,0,41,2024-07-13 02:55:13
12565,2024,ROU.1,6912,120855,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-03-11 04:44:08
12565,2024,ROU.1,19265,127711,20,3,13,3,3,0,1,1,0,1,11,0,0,0,30,2025-03-11 04:44:06
12565,2024,ROU.1,5260,131648,18,2,11,10,0,0,0,2,0,0,3,0,0,0,16,2025-03-11 04:44:04
12565,2024,ROU.1,18320,135581,28,0,0,9,1,0,0,0,0,0,0,0,0,96,42,2025-03-11 04:44:07
12565,2024,ROU.1,18332,135581,26,0,0,0,0,0,0,0,0,0,0,0,1,0,34,2024-07-13 02:55:13
12565,2024,ROU.1,6731,136796,21,4,23,36,6,1,0,3,0,21,59,7,0,0,25,2025-03-10 04:44:31
12565,2024,ROU.1,8089,140345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-09-14 04:55:13
12565,2024,ROU.1,21925,140345,18,0,0,2,1,0,0,0,0,0,0,0,0,61,23,2025-03-10 04:44:32
12565,2024,ROU.1,21925,140961,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2024-09-25 04:53:10
12565,2024,ROU.1,19265,141975,23,18,13,27,2,0,0,1,0,10,21,2,0,0,16,2025-03-11 04:44:06
12565,2024,ROU.1,21925,143601,17,1,16,17,4,0,0,1,0,2,9,1,0,0,20,2025-03-10 04:44:32
12565,2024,ROU.1,2496,147501,7,5,2,3,2,0,0,0,0,0,0,0,0,0,2,2025-03-11 04:44:05
