seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12860,2024,RSA.1,11913,22004,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2025-03-17 04:46:05
12860,2024,RSA.1,18615,66450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-17 04:46:09
12860,2024,RSA.1,7084,89834,7,1,1,2,0,1,0,0,0,0,0,0,0,13,4,2025-03-17 04:46:06
12860,2024,RSA.1,7079,92296,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2025-01-26 05:34:41
12860,2024,RSA.1,7079,92896,12,1,11,7,1,0,0,0,0,0,1,0,0,0,12,2025-03-17 04:46:04
12860,2024,RSA.1,7077,108527,14,6,15,9,4,0,0,0,0,2,5,0,0,0,4,2025-03-17 04:46:05
12860,2024,RSA.1,11913,111463,11,1,5,3,1,0,0,0,0,2,6,2,0,0,10,2025-03-17 04:46:05
12860,2024,RSA.1,7080,111946,7,3,6,6,0,0,0,0,0,7,14,2,0,0,3,2025-03-17 04:46:09
12860,2024,RSA.1,7100,116195,3,2,0,3,0,0,0,0,0,0,0,0,0,0,0,2025-03-17 04:46:05
12860,2024,RSA.1,13317,120123,17,0,1,4,3,0,0,0,0,0,0,0,0,46,23,2025-03-17 04:46:07
12860,2024,RSA.1,7099,127303,13,1,13,10,0,0,0,2,0,2,6,0,0,0,7,2025-03-17 04:46:07
12860,2024,RSA.1,7100,129306,23,0,1,10,2,0,0,0,0,0,0,0,0,52,27,2025-03-17 04:46:05
12860,2024,RSA.1,7100,129365,16,3,11,13,1,0,0,0,0,0,1,0,0,0,11,2025-03-17 04:46:05
12860,2024,RSA.1,7080,138752,8,0,5,1,1,0,0,0,0,0,3,0,0,0,5,2025-03-17 04:46:09
12860,2024,RSA.1,7077,139425,21,0,7,9,2,0,0,0,0,1,6,1,0,0,21,2025-03-17 04:46:05
12860,2024,RSA.1,7100,151221,20,8,27,13,3,0,0,0,0,10,26,3,0,0,13,2025-03-17 04:46:05
12860,2024,RSA.1,7080,151866,10,4,7,5,3,0,0,0,0,7,13,0,0,0,5,2025-03-17 04:46:09
