seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12689,2024,RUS.1,1963,39740,19,0,0,2,0,0,0,0,0,0,0,0,0,34,14,2025-03-17 04:46:55
12689,2024,RUS.1,1941,67003,15,10,4,9,2,0,1,2,0,5,12,1,0,0,4,2025-03-17 04:46:59
12689,2024,RUS.1,22300,80579,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-21 05:32:13
12689,2024,RUS.1,596,84295,3,0,6,1,0,0,0,1,0,0,1,0,0,0,3,2025-03-17 04:46:55
12689,2024,RUS.1,15582,86701,26,0,0,0,5,0,0,0,0,0,0,0,0,0,37,2024-07-13 02:50:31
12689,2024,RUS.1,22271,93367,12,2,9,9,0,0,0,3,0,10,23,5,0,0,16,2025-03-17 04:46:55
12689,2024,RUS.1,596,104497,14,1,13,10,1,0,0,2,0,4,17,2,0,0,12,2025-03-17 04:46:55
12689,2024,RUS.1,1963,105471,15,6,12,3,2,0,0,0,0,1,4,0,0,0,5,2025-03-17 04:46:55
12689,2024,RUS.1,1963,105813,9,4,7,6,3,0,0,1,0,2,3,0,0,0,4,2025-03-17 04:46:55
12689,2024,RUS.1,20019,108282,24,14,0,0,3,0,0,0,0,3,3,3,0,0,24,2024-07-13 02:50:29
12689,2024,RUS.1,7424,117353,20,0,30,29,4,0,0,5,0,9,34,3,0,0,30,2025-03-17 04:46:56
12689,2024,RUS.1,3851,117362,2,0,0,0,0,0,0,0,0,0,0,0,0,2,6,2025-03-17 04:46:59
12689,2024,RUS.1,2533,124905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-17 04:46:59
12689,2024,RUS.1,15582,124913,26,9,0,0,2,0,0,0,0,3,3,3,0,0,20,2024-07-13 02:50:31
12689,2024,RUS.1,7424,132972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-11-25 16:01:29
12689,2024,RUS.1,20019,132972,23,5,0,0,5,0,0,0,0,1,1,1,0,0,25,2024-07-13 02:50:29
12689,2024,RUS.1,21539,135934,2,1,0,0,0,0,0,0,0,0,2,0,0,0,1,2025-03-17 04:46:56
12689,2024,RUS.1,11336,136454,18,2,9,9,3,0,0,1,0,1,5,0,0,0,8,2025-03-17 04:46:57
12689,2024,RUS.1,15582,140406,16,2,0,0,2,0,1,0,0,1,1,0,0,0,20,2024-07-13 02:50:31
12689,2024,RUS.1,7424,148356,2,1,0,0,0,0,0,0,0,2,3,0,0,0,2,2025-03-17 04:46:56
12689,2024,RUS.1,21949,148356,12,0,0,0,3,0,0,0,0,0,0,0,0,0,17,2024-07-13 02:50:29
12689,2024,RUS.1,11336,150204,14,11,5,4,1,0,0,1,0,5,18,1,0,0,6,2025-03-17 04:46:57
12689,2024,RUS.1,7424,150364,12,1,22,13,4,0,0,0,0,0,5,0,0,0,18,2025-03-17 04:46:56
12689,2024,RUS.1,21539,151234,12,0,0,1,1,0,0,0,0,0,0,0,0,31,17,2025-03-17 04:46:56
12689,2024,RUS.1,21949,151793,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2024-07-13 02:50:29
12689,2024,RUS.1,3851,151797,16,5,14,12,3,0,0,0,0,1,7,1,0,0,16,2025-03-17 04:46:59
12689,2024,RUS.1,3850,151799,10,1,0,1,1,0,0,1,0,0,0,0,0,24,16,2025-03-17 04:46:57
12689,2024,RUS.1,20019,151803,19,0,0,0,2,0,0,0,0,0,0,0,0,0,28,2024-07-13 02:50:29
12689,2024,RUS.1,22300,154354,14,9,7,5,2,0,0,0,0,2,7,0,0,0,6,2025-03-17 04:46:56
12689,2024,RUS.1,7424,157282,5,5,0,0,0,0,0,0,0,0,4,0,0,0,2,2024-11-25 16:01:29
12689,2024,RUS.1,22271,159239,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-21 05:32:12
12689,2024,RUS.1,3851,159560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-17 04:46:59
12689,2024,RUS.1,2533,162263,16,16,5,3,1,0,0,0,0,6,13,2,0,0,1,2025-03-17 04:46:59
12689,2024,RUS.1,21539,165233,4,3,2,1,0,1,0,0,0,0,0,0,0,0,4,2025-03-17 04:46:56
12689,2024,RUS.1,7424,169035,19,8,10,17,4,0,0,0,0,7,22,3,0,0,17,2025-03-17 04:46:56
12689,2024,RUS.1,15582,169417,21,3,0,0,2,0,0,0,0,0,0,0,0,0,23,2024-07-13 02:50:31
12689,2024,RUS.1,11336,171508,18,0,13,13,2,0,0,1,0,1,13,0,0,0,12,2025-03-17 04:46:57
12689,2024,RUS.1,22271,172157,8,2,3,5,1,0,0,0,0,2,7,1,0,0,11,2025-01-21 05:32:12
12689,2024,RUS.1,7424,175894,8,8,0,2,0,0,0,0,0,1,4,0,0,0,2,2025-01-21 05:32:14
12689,2024,RUS.1,11336,176058,16,0,32,53,3,1,0,3,0,28,60,9,0,0,10,2025-03-17 04:46:57
12689,2024,RUS.1,21539,177155,9,0,0,0,1,0,0,0,0,0,0,0,0,34,12,2025-03-17 04:46:56
12689,2024,RUS.1,21949,177410,26,11,0,0,1,0,0,0,0,6,6,6,0,0,19,2024-07-13 02:50:29
12689,2024,RUS.1,3851,178007,17,0,23,36,6,0,0,0,0,1,8,0,0,0,25,2025-03-17 04:46:59
12689,2024,RUS.1,596,178116,12,4,9,18,1,0,0,0,0,0,4,0,0,0,9,2025-03-17 04:46:55
12689,2024,RUS.1,15582,178344,26,2,0,0,4,0,0,0,0,3,4,3,0,0,31,2024-07-13 02:50:31
12689,2024,RUS.1,2533,182018,19,0,29,29,3,0,0,0,0,0,3,0,0,0,12,2025-03-17 04:46:59
12689,2024,RUS.1,1941,182337,20,2,15,26,1,0,0,1,0,18,40,5,0,0,12,2025-03-17 04:46:59
12689,2024,RUS.1,3851,183666,18,18,3,3,3,0,0,0,0,1,1,0,0,0,4,2025-03-17 04:46:59
