seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12723,2024,SCO.2,247,5938,26,3,8,14,4,0,0,0,0,3,6,0,0,0,29,2025-03-17 04:43:16
12723,2024,SCO.2,264,7331,18,7,4,8,1,0,0,1,1,3,9,1,0,0,8,2024-07-13 02:58:29
12723,2024,SCO.2,249,7977,19,3,20,28,5,1,0,1,0,1,1,0,0,0,19,2025-03-17 04:43:17
12723,2024,SCO.2,248,15327,10,0,6,3,4,0,0,0,0,0,0,0,0,0,6,2025-03-17 04:43:14
12723,2024,SCO.2,259,16154,26,1,29,21,6,0,0,1,0,18,42,5,0,0,19,2025-03-17 04:43:16
12723,2024,SCO.2,411,17575,4,0,0,0,0,0,0,0,0,0,0,0,0,12,4,2025-03-17 04:43:15
12723,2024,SCO.2,411,24636,23,11,22,23,3,0,0,2,0,9,20,3,0,0,19,2025-03-17 04:43:15
12723,2024,SCO.2,422,38106,17,5,18,6,4,0,0,1,0,2,10,1,0,0,17,2025-03-17 04:43:17
12723,2024,SCO.2,259,38397,25,6,17,8,4,0,0,3,0,9,35,3,0,0,19,2025-03-17 04:43:16
12723,2024,SCO.2,254,40299,20,2,13,23,2,1,0,1,0,0,4,0,0,0,14,2025-03-17 04:43:15
12723,2024,SCO.2,247,41258,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-31 14:44:40
12723,2024,SCO.2,422,42193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-17 04:43:17
12723,2024,SCO.2,422,43235,26,5,12,17,2,0,0,4,0,8,25,2,0,0,23,2025-03-17 04:43:17
12723,2024,SCO.2,252,61878,21,1,12,15,3,0,0,1,0,2,7,0,0,0,39,2024-07-13 02:58:30
12723,2024,SCO.2,249,70407,28,2,32,9,4,0,0,3,0,2,4,1,0,0,33,2025-03-17 04:43:17
12723,2024,SCO.2,253,72905,8,2,4,5,0,0,0,1,0,6,10,2,0,0,4,2024-07-13 02:58:30
12723,2024,SCO.2,249,73372,24,5,9,15,1,1,0,1,0,1,8,0,0,0,31,2025-03-17 04:43:17
12723,2024,SCO.2,2500,73657,14,9,8,9,0,0,0,0,0,5,9,2,0,0,7,2025-03-17 04:43:14
12723,2024,SCO.2,247,77907,26,0,21,18,0,1,0,2,0,24,50,13,0,0,25,2025-03-17 04:43:16
12723,2024,SCO.2,411,82925,20,13,3,9,1,0,0,1,0,5,10,1,0,0,15,2025-03-17 04:43:15
12723,2024,SCO.2,254,84036,6,0,8,3,1,0,0,0,0,7,11,5,0,0,6,2025-03-17 04:43:15
12723,2024,SCO.2,249,84213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-15 05:47:32
12723,2024,SCO.2,248,98298,20,9,6,16,1,0,0,1,0,7,17,1,0,0,7,2025-03-17 04:43:14
12723,2024,SCO.2,254,107568,28,0,27,22,7,0,0,1,0,9,16,6,0,0,25,2025-03-17 04:43:15
12723,2024,SCO.2,259,108365,25,15,15,30,4,0,0,1,0,7,15,2,0,0,9,2025-03-17 04:43:16
12723,2024,SCO.2,411,108367,11,1,10,10,3,0,0,1,0,2,3,0,0,0,13,2025-03-01 05:44:52
12723,2024,SCO.2,249,108739,16,1,11,10,1,1,0,0,0,1,3,0,0,0,16,2025-03-17 04:43:17
12723,2024,SCO.2,247,112329,9,6,7,0,4,0,0,0,0,0,1,0,0,0,2,2025-02-25 05:48:49
12723,2024,SCO.2,252,112881,14,10,10,5,2,1,0,0,0,1,3,0,0,0,15,2024-07-13 02:58:30
12723,2024,SCO.2,249,113963,25,0,21,19,2,0,0,0,0,5,13,1,0,0,32,2025-03-17 04:43:17
12723,2024,SCO.2,247,119000,18,1,19,16,4,1,0,4,0,6,15,3,0,0,18,2025-02-07 05:38:50
12723,2024,SCO.2,409,119000,25,1,31,23,4,1,0,4,0,9,20,4,0,0,27,2025-03-17 04:43:16
12723,2024,SCO.2,248,119083,7,4,5,3,0,0,0,0,0,4,6,4,0,0,7,2025-03-17 04:43:14
12723,2024,SCO.2,265,121665,23,0,11,20,2,1,0,0,0,2,7,2,0,0,31,2025-03-17 04:43:15
12723,2024,SCO.2,2500,122873,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-17 04:43:14
12723,2024,SCO.2,411,122960,5,0,4,0,0,0,0,0,0,1,4,0,0,0,4,2024-11-21 05:47:00
12723,2024,SCO.2,409,125080,23,1,20,11,4,0,1,1,0,0,4,0,0,0,34,2025-03-17 04:43:16
12723,2024,SCO.2,252,126266,19,0,20,19,8,0,0,2,1,3,9,2,0,0,37,2024-07-13 02:58:30
12723,2024,SCO.2,409,126323,7,2,5,8,1,0,0,0,0,1,1,1,0,0,13,2025-03-17 04:43:16
12723,2024,SCO.2,247,126421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-17 04:43:16
12723,2024,SCO.2,247,127116,6,0,0,1,0,0,0,0,0,0,0,0,0,18,17,2025-03-17 04:43:16
12723,2024,SCO.2,253,127942,15,10,6,10,1,0,0,1,3,1,3,1,0,0,4,2024-07-13 02:58:30
12723,2024,SCO.2,249,128639,11,5,8,13,0,0,0,0,0,1,5,0,0,0,8,2025-03-17 04:43:17
12723,2024,SCO.2,252,128793,16,1,9,14,3,0,0,0,0,0,5,0,0,0,33,2024-07-13 02:58:30
12723,2024,SCO.2,2500,130103,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-17 04:43:14
12723,2024,SCO.2,259,130467,14,2,10,3,3,1,0,0,0,7,8,4,0,0,12,2025-03-17 04:43:16
12723,2024,SCO.2,409,132256,12,0,1,3,0,0,0,0,0,0,0,0,0,40,20,2025-03-17 04:43:16
12723,2024,SCO.2,411,134390,26,18,15,13,1,0,0,1,0,4,11,2,0,0,12,2025-03-17 04:43:15
12723,2024,SCO.2,252,134842,24,5,14,16,0,0,0,1,4,3,7,1,0,0,50,2024-07-13 02:58:30
12723,2024,SCO.2,422,136207,28,3,30,25,5,0,0,1,0,16,35,6,0,0,32,2025-03-17 04:43:17
12723,2024,SCO.2,422,137317,28,0,37,20,6,0,0,2,0,2,8,2,0,0,33,2025-03-17 04:43:17
12723,2024,SCO.2,259,137367,18,7,14,13,2,0,0,1,0,1,9,1,0,0,8,2025-03-17 04:43:16
12723,2024,SCO.2,252,137450,23,0,0,2,0,0,0,0,0,0,0,0,0,65,48,2024-07-13 02:58:30
12723,2024,SCO.2,264,137726,19,4,12,11,1,0,0,1,3,6,19,3,0,0,10,2024-07-13 02:58:29
12723,2024,SCO.2,265,137726,24,9,17,20,4,1,0,4,0,6,20,1,0,0,14,2025-03-17 04:43:15
12723,2024,SCO.2,253,138377,36,3,29,38,1,0,0,3,15,29,46,8,0,0,29,2024-07-13 02:58:30
12723,2024,SCO.2,2500,139655,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-17 04:43:14
12723,2024,SCO.2,247,139761,25,4,29,17,10,0,0,0,0,2,4,0,0,0,28,2025-03-17 04:43:16
12723,2024,SCO.2,249,139792,21,10,6,10,3,0,0,1,0,3,8,0,0,0,16,2025-03-17 04:43:17
12723,2024,SCO.2,264,140037,33,5,46,41,8,0,0,6,26,36,75,18,0,0,17,2024-07-13 02:58:29
12723,2024,SCO.2,247,142234,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-17 04:43:16
12723,2024,SCO.2,252,142368,30,5,29,15,6,0,0,0,1,6,15,0,0,0,52,2024-07-13 02:58:30
12723,2024,SCO.2,265,144039,13,5,17,17,5,0,0,0,0,4,5,0,0,0,10,2025-03-17 04:43:15
12723,2024,SCO.2,247,145139,9,9,1,6,0,0,0,0,0,1,1,0,0,0,2,2025-03-17 04:43:16
12723,2024,SCO.2,249,150538,13,3,7,13,0,0,0,1,0,8,13,3,0,0,12,2025-03-17 04:43:17
12723,2024,SCO.2,259,150538,13,3,7,13,0,0,0,1,0,8,13,3,0,0,12,2025-03-16 04:48:45
12723,2024,SCO.2,249,150623,11,2,5,1,0,0,0,0,0,1,5,0,0,0,7,2025-03-17 04:43:17
12723,2024,SCO.2,249,150839,7,0,5,3,1,0,0,0,0,1,2,0,0,0,10,2025-01-25 05:27:23
12723,2024,SCO.2,2500,152197,5,0,3,6,0,0,0,1,0,0,3,0,0,0,6,2025-03-17 04:43:14
12723,2024,SCO.2,252,153020,33,10,24,24,2,0,0,0,11,19,35,5,0,0,57,2024-07-13 02:58:30
12723,2024,SCO.2,264,153147,26,1,25,16,5,0,0,2,0,0,9,0,0,0,15,2024-07-13 02:58:29
12723,2024,SCO.2,411,153839,17,5,12,17,1,0,0,3,0,5,9,1,0,0,13,2025-03-17 04:43:15
12723,2024,SCO.2,265,154809,4,4,1,0,0,0,0,0,0,0,0,0,0,0,1,2025-03-17 04:43:15
12723,2024,SCO.2,264,154974,31,1,16,14,5,0,0,1,2,13,35,6,0,0,21,2024-07-13 02:58:29
12723,2024,SCO.2,409,155229,9,2,5,1,2,0,0,0,0,2,4,1,0,0,7,2025-03-17 04:43:16
12723,2024,SCO.2,409,155928,12,8,15,4,3,0,0,0,0,1,4,0,0,0,9,2025-03-17 04:43:16
12723,2024,SCO.2,253,157563,28,3,29,14,5,0,0,0,2,3,10,1,0,0,27,2024-07-13 02:58:30
12723,2024,SCO.2,409,157908,23,4,17,12,4,0,0,2,0,2,4,0,0,0,36,2025-03-17 04:43:16
12723,2024,SCO.2,259,161755,29,0,33,34,5,0,0,0,0,3,8,0,0,0,24,2025-03-17 04:43:16
12723,2024,SCO.2,411,161804,20,14,16,12,3,0,0,0,0,0,0,0,0,0,15,2025-03-17 04:43:15
12723,2024,SCO.2,265,162837,22,4,37,40,3,0,0,1,0,19,30,10,0,0,17,2025-03-17 04:43:15
12723,2024,SCO.2,264,162891,33,1,44,29,3,1,0,2,0,10,31,4,0,0,21,2024-07-13 02:58:29
12723,2024,SCO.2,253,162971,15,0,20,31,5,0,0,0,1,3,13,1,0,0,15,2024-07-13 02:58:30
12723,2024,SCO.2,422,162971,15,0,19,31,3,0,0,3,0,2,5,1,0,0,14,2025-03-17 04:43:17
12723,2024,SCO.2,247,163038,27,6,25,34,8,0,0,0,0,2,8,0,0,0,16,2025-03-17 04:43:16
12723,2024,SCO.2,249,165270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-07 05:38:50
12723,2024,SCO.2,253,167577,14,0,28,42,1,0,0,2,9,14,29,4,0,0,12,2024-07-13 02:58:30
12723,2024,SCO.2,409,167811,6,1,3,2,1,0,0,0,0,1,1,1,0,0,11,2025-03-17 04:43:16
12723,2024,SCO.2,2500,168115,19,2,22,10,5,0,0,0,0,3,8,0,0,0,31,2025-03-17 04:43:14
12723,2024,SCO.2,409,168204,18,1,23,9,3,0,0,1,0,6,14,0,0,0,23,2025-03-17 04:43:16
12723,2024,SCO.2,249,168215,27,1,40,42,4,1,0,3,0,15,33,9,0,0,30,2025-03-17 04:43:17
12723,2024,SCO.2,254,168217,15,1,8,14,0,0,0,2,0,1,8,0,0,0,15,2025-03-17 04:43:15
12723,2024,SCO.2,265,168397,17,10,6,2,1,0,0,0,0,0,5,0,0,0,14,2025-03-17 04:43:15
12723,2024,SCO.2,249,169557,8,1,4,4,0,0,0,2,0,0,0,0,0,0,8,2025-02-01 14:46:08
12723,2024,SCO.2,2500,169619,27,3,10,19,0,0,0,3,0,26,52,9,0,0,43,2025-03-17 04:43:14
12723,2024,SCO.2,253,170836,36,0,2,7,2,0,0,1,0,0,0,0,0,83,40,2024-07-13 02:58:30
12723,2024,SCO.2,409,171827,29,1,25,9,6,0,0,1,0,6,10,2,0,0,50,2025-03-17 04:43:16
