seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12726,2024,SCO.4,416,4903,26,2,26,28,9,0,0,0,0,9,13,3,0,0,26,2025-03-17 04:43:22
12726,2024,SCO.4,255,5664,15,4,8,5,1,0,0,0,2,1,2,1,0,0,24,2024-07-11 03:03:32
12726,2024,SCO.4,405,6965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 02:56:56
12726,2024,SCO.4,407,7017,36,8,27,42,1,0,0,5,6,18,39,5,0,0,43,2024-07-11 03:03:35
12726,2024,SCO.4,419,7257,28,0,35,41,8,0,0,4,0,12,31,4,0,0,28,2025-03-17 04:43:22
12726,2024,SCO.4,421,9599,8,6,8,2,0,0,0,1,0,4,6,1,0,0,2,2025-03-17 04:43:21
12726,2024,SCO.4,405,12821,26,14,13,26,8,1,0,2,2,9,16,2,0,0,10,2024-07-13 02:56:56
12726,2024,SCO.4,405,13199,34,2,42,33,4,1,0,4,2,7,30,1,0,0,24,2024-07-13 02:56:56
12726,2024,SCO.4,408,16106,29,0,2,0,4,0,0,1,0,1,2,0,0,55,39,2025-03-17 04:43:22
12726,2024,SCO.4,421,16812,4,0,0,1,0,0,0,0,0,0,0,0,0,10,0,2025-03-17 04:43:21
12726,2024,SCO.4,10605,18784,23,2,34,23,8,1,0,1,0,2,5,0,0,0,38,2025-03-17 04:43:21
12726,2024,SCO.4,407,21858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-17 04:43:23
12726,2024,SCO.4,255,23877,10,6,3,2,1,0,0,0,0,0,1,0,0,0,6,2024-07-11 03:03:32
12726,2024,SCO.4,255,24518,28,0,19,17,3,0,0,1,0,3,4,1,0,0,40,2025-03-17 04:43:21
12726,2024,SCO.4,416,26027,15,9,9,2,0,1,0,3,0,2,7,1,0,0,7,2024-07-11 03:03:32
12726,2024,SCO.4,419,26883,27,14,35,11,5,0,0,0,13,10,23,3,0,0,16,2024-07-11 03:03:30
12726,2024,SCO.4,407,27945,18,2,16,10,2,0,0,0,0,0,7,0,0,0,13,2025-03-17 04:43:23
12726,2024,SCO.4,421,30013,27,1,31,37,6,0,0,4,0,25,38,20,0,0,22,2025-03-17 04:43:21
12726,2024,SCO.4,417,32332,26,0,19,22,5,0,1,0,0,2,5,0,0,0,38,2025-03-17 04:43:23
12726,2024,SCO.4,255,33921,4,0,0,1,0,0,0,0,0,0,0,0,0,11,6,2024-07-11 03:03:32
12726,2024,SCO.4,407,34836,5,4,3,2,1,0,0,0,0,0,0,0,0,0,3,2024-12-07 06:03:44
12726,2024,SCO.4,18015,39535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-17 04:43:23
12726,2024,SCO.4,408,39801,6,1,5,4,1,0,0,0,0,1,4,0,0,0,12,2024-07-11 03:03:32
12726,2024,SCO.4,407,40479,29,0,20,43,8,0,0,0,0,5,14,1,0,0,30,2025-03-17 04:43:23
12726,2024,SCO.4,416,40489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-11 03:03:32
12726,2024,SCO.4,415,42211,11,7,6,3,2,0,0,0,0,3,7,1,0,0,7,2024-07-13 02:56:59
12726,2024,SCO.4,405,42871,15,7,16,5,1,0,0,0,0,0,4,0,0,0,15,2024-07-13 02:56:56
12726,2024,SCO.4,416,46740,6,1,3,2,0,0,0,0,0,2,4,2,0,0,3,2025-03-17 04:43:22
12726,2024,SCO.4,405,57725,35,11,8,17,2,1,0,8,4,17,49,5,0,0,22,2024-07-13 02:56:56
12726,2024,SCO.4,417,57725,22,0,19,12,6,0,0,7,0,21,39,9,0,0,38,2025-03-17 04:43:23
12726,2024,SCO.4,416,57727,23,17,20,8,0,0,0,0,0,7,21,4,0,0,5,2025-03-17 04:43:22
12726,2024,SCO.4,416,73650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-11 03:03:32
12726,2024,SCO.4,407,76521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-11 03:03:35
12726,2024,SCO.4,407,77132,12,3,12,6,0,0,0,0,0,1,4,0,0,0,13,2025-03-17 04:43:23
12726,2024,SCO.4,10605,84213,5,0,0,2,0,0,0,0,0,0,0,0,0,14,8,2025-03-17 04:43:21
12726,2024,SCO.4,421,84408,20,0,15,12,2,0,0,1,0,2,3,0,0,0,18,2025-03-17 04:43:21
12726,2024,SCO.4,10605,85337,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2025-03-17 04:43:21
12726,2024,SCO.4,419,93369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-17 04:43:22
12726,2024,SCO.4,419,104998,14,5,12,9,4,1,0,0,0,2,5,2,0,0,12,2025-03-17 04:43:22
12726,2024,SCO.4,421,107564,26,8,24,25,5,0,0,1,0,8,14,1,0,0,21,2025-03-17 04:43:21
12726,2024,SCO.4,10605,107564,18,3,21,20,4,0,0,1,0,6,11,1,0,0,17,2025-01-18 05:35:45
12726,2024,SCO.4,405,112543,30,0,33,25,6,1,0,2,1,1,11,1,0,0,22,2024-07-13 02:56:56
12726,2024,SCO.4,421,113568,19,1,12,8,4,0,0,0,0,3,4,1,0,0,20,2025-03-17 04:43:21
12726,2024,SCO.4,407,115743,25,14,26,15,2,1,0,2,0,7,12,2,0,0,5,2025-03-17 04:43:23
12726,2024,SCO.4,416,117799,24,1,16,32,8,0,0,1,0,13,21,2,0,0,19,2025-03-17 04:43:22
12726,2024,SCO.4,407,118401,23,0,27,33,5,0,0,2,0,16,28,8,0,0,26,2025-03-17 04:43:23
12726,2024,SCO.4,417,118486,14,8,15,6,2,0,0,0,0,1,3,1,0,0,14,2025-02-02 14:46:12
12726,2024,SCO.4,405,118995,34,0,0,3,1,0,0,0,0,0,1,0,0,78,27,2024-07-13 02:56:56
12726,2024,SCO.4,405,119015,18,12,12,4,2,0,0,1,3,7,16,1,0,0,4,2024-07-13 02:56:56
