seasonType,eventId,playOrder,playId,typeId,text,shortText,period,clockValue,clockDisplayValue,teamId,scoringPlay,shootout,wallclock,goalPositionX,goalPositionY,fieldpositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,athleteId,participant,updateDateTime
12836,716631,1,43612787,70,Argyrios Liatsikouras (Olympiacos U20) Goal at 54',Argyrios Liatsikouras Goal,2,3240,54',22331,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,387675.0,Argyrios Liatsikouras,2024-08-29 05:44:27
12836,716631,2,43613030,76,Jean Carlos (Flamengo S20) Substitution at 61',Jean Carlos Substitution,2,3660,61',18467,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,343844.0,Jean Carlos,2024-09-01 05:45:08
12836,716631,3,43613031,76,Caio Vinicius (Flamengo S20) Substitution at 61',Caio Vinicius Substitution,2,3660,61',18467,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,358161.0,Caio Vinicius,2024-09-01 05:45:08
12836,716631,2,43613030,76,Jean Carlos (Flamengo S20) Substitution at 61',Jean Carlos Substitution,2,3660,61',18467,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,338951.0,José Welinton,2024-09-01 05:45:08
12836,716631,3,43613031,76,Caio Vinicius (Flamengo S20) Substitution at 61',Caio Vinicius Substitution,2,3660,61',18467,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,387686.0,João Alves,2024-09-01 05:45:08
12836,716631,4,43613132,76,Felipe Teresa (Flamengo S20) Substitution at 65',Felipe Teresa Substitution,2,3900,65',18467,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,382846.0,Felipe Teresa,2024-09-01 05:45:08
12836,716631,4,43613132,76,Felipe Teresa (Flamengo S20) Substitution at 65',Felipe Teresa Substitution,2,3900,65',18467,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,379497.0,Guilherme Henrique Bernardineli Gomes,2024-09-01 05:45:08
12836,716631,5,43613175,94,Theofanis Bakoulas (Olympiacos U20) Yellow Card at 68',Theofanis Bakoulas Yellow Card,2,4080,68',22331,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,387654.0,Theofanis Bakoulas,2024-08-29 05:44:27
12836,716631,6,43613304,70,Caio Vinicius (Flamengo S20) Goal at 73',Caio Vinicius Goal,2,4380,73',18467,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,358161.0,Caio Vinicius,2024-09-01 05:45:08
12836,716631,7,43613701,76,Da Mata (Flamengo S20) Substitution at 86',Da Mata Substitution,2,5160,86',18467,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,371495.0,Da Mata,2024-09-01 05:45:08
12836,716631,8,43613702,76,Adriel (Flamengo S20) Substitution at 86',Adriel Substitution,2,5160,86',18467,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,388806.0,Adriel,2024-09-01 05:45:08
12836,716631,7,43613701,76,Da Mata (Flamengo S20) Substitution at 86',Da Mata Substitution,2,5160,86',18467,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,357115.0,Daniel Sales,2024-09-01 05:45:08
12836,716631,8,43613702,76,Adriel (Flamengo S20) Substitution at 86',Adriel Substitution,2,5160,86',18467,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,382847.0,Shola Ogundana,2024-09-01 05:45:08
12836,716631,9,43613854,70,Felipe Teresa (Flamengo S20) Goal at 92',Felipe Teresa Goal,2,5400,90'+2',18467,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,382846.0,Felipe Teresa,2024-09-01 05:45:08
12836,716631,10,43613883,94,Felipe Teresa (Flamengo S20) Yellow Card at 92',Felipe Teresa Yellow Card,2,5400,90'+2',18467,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,382846.0,Felipe Teresa,2024-09-01 05:45:08
12815,715587,1,43893224,93,Anestis Vlachomitros (Lamia) Red Card at 23',Anestis Vlachomitros Red Card,1,1380,23',18814,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,298414.0,Anestis Vlachomitros,2024-10-29 05:20:36
12815,715587,2,43893304,94,Mohamed Fares (Panserraikos FC) Yellow Card at 32',Mohamed Fares Yellow Card,1,1920,32',21970,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,204670.0,Mohamed Fares,2024-10-29 05:20:36
12815,715587,3,43893540,70,Panagiotis Deligiannidis (Panserraikos FC) Goal at 36',Panagiotis Deligiannidis Goal,1,2160,36',21970,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,198175.0,Panagiotis Deligiannidis,2024-10-29 05:20:36
12815,715587,4,43893575,94,Paschalis Staikos (Panserraikos FC) Yellow Card at 40',Paschalis Staikos Yellow Card,1,2400,40',21970,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,222731.0,Paschalis Staikos,2024-10-29 05:20:36
12815,715587,5,43893620,94,Francisco Perruzzi (Panserraikos FC) Yellow Card at 49',Francisco Perruzzi Yellow Card,1,2700,45'+4',21970,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,318143.0,Francisco Perruzzi,2024-10-29 05:20:36
12815,715587,6,43893710,76,Angelos Liasos (Panserraikos FC) Substitution at 45',Angelos Liasos Substitution,2,2700,45',21970,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,278912.0,Angelos Liasos,2024-10-29 05:20:36
12815,715587,6,43893710,76,Angelos Liasos (Panserraikos FC) Substitution at 45',Angelos Liasos Substitution,2,2700,45',21970,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,222731.0,Paschalis Staikos,2024-10-29 05:20:36
12815,715587,7,43894205,93,Francisco Perruzzi (Panserraikos FC) Red Card at 57',Francisco Perruzzi Red Card,2,3420,57',21970,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,318143.0,Francisco Perruzzi,2024-10-29 05:20:36
12815,715587,8,43894208,94,Mathías Tomás (Panserraikos FC) Yellow Card at 58',Mathías Tomás Yellow Card,2,3480,58',21970,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,356340.0,Mathías Tomás,2024-10-29 05:20:36
12815,715587,9,43894210,76,Aristotelis Karasalidis (Panserraikos FC) Substitution at 60',Aristotelis Karasalidis Substitu,2,3600,60',21970,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,212572.0,Aristotelis Karasalidis,2024-10-29 05:20:36
12815,715587,9,43894210,76,Aristotelis Karasalidis (Panserraikos FC) Substitution at 60',Aristotelis Karasalidis Substitu,2,3600,60',21970,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,233901.0,Emil Bergström,2024-10-29 05:20:36
12815,715587,10,43894211,76,Jérémy Gelin (Panserraikos FC) Substitution at 61',Jérémy Gelin Substitution,2,3660,61',21970,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,227888.0,Jérémy Gelin,2024-10-29 05:20:36
12815,715587,10,43894211,76,Jérémy Gelin (Panserraikos FC) Substitution at 61',Jérémy Gelin Substitution,2,3660,61',21970,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,306277.0,Zisis Chatzistravos,2024-10-29 05:20:36
12815,715587,11,43894224,70,Jefté (Panserraikos FC) Goal at 63',Jefté Goal,2,3780,63',21970,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,165671.0,Jefté,2024-10-29 05:20:36
12815,715587,12,43894225,76,Giannis Doiranlis (Lamia) Substitution at 65',Giannis Doiranlis Substitution,2,3900,65',18814,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,387611.0,Giannis Doiranlis,2024-10-29 05:20:36
12815,715587,13,43894226,76,Saliou Guindo (Lamia) Substitution at 65',Saliou Guindo Substitution,2,3900,65',18814,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,219462.0,Saliou Guindo,2024-10-29 05:20:36
12815,715587,14,43894241,76,Artem Bykov (Lamia) Substitution at 65',Artem Bykov Substitution,2,3900,65',18814,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,178608.0,Artem Bykov,2024-10-29 05:20:36
12815,715587,12,43894225,76,Giannis Doiranlis (Lamia) Substitution at 65',Giannis Doiranlis Substitution,2,3900,65',18814,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,252500.0,Giorgos Giannoutsos,2024-10-29 05:20:36
12815,715587,13,43894226,76,Saliou Guindo (Lamia) Substitution at 65',Saliou Guindo Substitution,2,3900,65',18814,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,289731.0,Nedim Mekic,2024-10-29 05:20:36
12815,715587,14,43894241,76,Artem Bykov (Lamia) Substitution at 65',Artem Bykov Substitution,2,3900,65',18814,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,177410.0,Ángelo Henríquez,2024-10-29 05:20:36
12815,715587,15,43894242,70,Sebastian Ring (Lamia) Goal at 67',Sebastian Ring Goal,2,4020,67',18814,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,218437.0,Sebastian Ring,2024-10-29 05:20:36
12815,715587,16,43894274,76,Milos Deletic (Panserraikos FC) Substitution at 75',Milos Deletic Substitution,2,4500,75',21970,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,239501.0,Milos Deletic,2024-10-29 05:20:36
12815,715587,16,43894274,76,Milos Deletic (Panserraikos FC) Substitution at 75',Milos Deletic Substitution,2,4500,75',21970,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,356340.0,Mathías Tomás,2024-10-29 05:20:36
12815,715587,17,43894318,76,Georgios Saramantas (Lamia) Substitution at 84',Georgios Saramantas Substitution,2,5040,84',18814,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,228692.0,Georgios Saramantas,2024-10-29 05:20:36
12815,715587,18,43894319,76,Alberto Simoni (Lamia) Substitution at 84',Alberto Simoni Substitution,2,5040,84',18814,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,387613.0,Alberto Simoni,2024-10-29 05:20:36
